Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130208-KransvleiCH009-300sec-9"
Duration Time,300
Ambient Temperature,"102.4"
Detector Temperature,"-39.0"
Valid Accumulated Counts,"484694"
Raw Accumulated Counts,"554221"
Valid Count Last Packet,"1520"
Raw Count Last Packet,"1742"
Live Time,282.931854
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,776
Channel#,Intensity
0,"1"
1,"2"
2,"0"
3,"1"
4,"0"
5,"0"
6,"0"
7,"1"
8,"1"
9,"0"
10,"1"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"2"
17,"1"
18,"0"
19,"2"
20,"3"
21,"2"
22,"3"
23,"7"
24,"13"
25,"23"
26,"31"
27,"47"
28,"44"
29,"88"
30,"86"
31,"110"
32,"120"
33,"170"
34,"149"
35,"174"
36,"199"
37,"202"
38,"191"
39,"229"
40,"219"
41,"224"
42,"213"
43,"202"
44,"195"
45,"201"
46,"213"
47,"205"
48,"203"
49,"177"
50,"224"
51,"233"
52,"206"
53,"205"
54,"250"
55,"232"
56,"248"
57,"251"
58,"239"
59,"241"
60,"258"
61,"270"
62,"235"
63,"258"
64,"260"
65,"260"
66,"231"
67,"228"
68,"254"
69,"231"
70,"238"
71,"261"
72,"211"
73,"236"
74,"229"
75,"202"
76,"188"
77,"220"
78,"196"
79,"184"
80,"206"
81,"210"
82,"210"
83,"184"
84,"198"
85,"184"
86,"208"
87,"205"
88,"198"
89,"215"
90,"210"
91,"215"
92,"174"
93,"169"
94,"189"
95,"184"
96,"204"
97,"169"
98,"192"
99,"181"
100,"233"
101,"160"
102,"187"
103,"197"
104,"152"
105,"185"
106,"181"
107,"166"
108,"142"
109,"178"
110,"182"
111,"160"
112,"155"
113,"147"
114,"168"
115,"171"
116,"166"
117,"148"
118,"166"
119,"165"
120,"154"
121,"132"
122,"155"
123,"164"
124,"163"
125,"177"
126,"150"
127,"133"
128,"145"
129,"158"
130,"167"
131,"130"
132,"132"
133,"140"
134,"150"
135,"139"
136,"126"
137,"129"
138,"126"
139,"145"
140,"134"
141,"141"
142,"130"
143,"131"
144,"124"
145,"132"
146,"126"
147,"123"
148,"145"
149,"134"
150,"136"
151,"114"
152,"134"
153,"123"
154,"107"
155,"111"
156,"109"
157,"110"
158,"136"
159,"124"
160,"121"
161,"108"
162,"104"
163,"107"
164,"126"
165,"121"
166,"108"
167,"140"
168,"102"
169,"110"
170,"108"
171,"112"
172,"115"
173,"105"
174,"105"
175,"91"
176,"93"
177,"93"
178,"89"
179,"90"
180,"98"
181,"80"
182,"101"
183,"85"
184,"82"
185,"94"
186,"88"
187,"91"
188,"76"
189,"88"
190,"65"
191,"73"
192,"66"
193,"63"
194,"72"
195,"67"
196,"66"
197,"78"
198,"81"
199,"96"
200,"72"
201,"72"
202,"72"
203,"67"
204,"53"
205,"53"
206,"50"
207,"56"
208,"47"
209,"53"
210,"40"
211,"46"
212,"51"
213,"57"
214,"61"
215,"49"
216,"49"
217,"49"
218,"54"
219,"57"
220,"71"
221,"84"
222,"80"
223,"107"
224,"91"
225,"95"
226,"117"
227,"126"
228,"103"
229,"102"
230,"117"
231,"97"
232,"120"
233,"105"
234,"77"
235,"76"
236,"64"
237,"70"
238,"54"
239,"45"
240,"56"
241,"51"
242,"41"
243,"55"
244,"65"
245,"47"
246,"53"
247,"63"
248,"41"
249,"57"
250,"39"
251,"42"
252,"33"
253,"20"
254,"36"
255,"31"
256,"29"
257,"38"
258,"27"
259,"33"
260,"30"
261,"31"
262,"41"
263,"53"
264,"34"
265,"28"
266,"41"
267,"45"
268,"26"
269,"42"
270,"35"
271,"33"
272,"37"
273,"27"
274,"27"
275,"31"
276,"18"
277,"26"
278,"38"
279,"28"
280,"37"
281,"31"
282,"25"
283,"28"
284,"20"
285,"35"
286,"27"
287,"30"
288,"25"
289,"27"
290,"31"
291,"33"
292,"29"
293,"29"
294,"34"
295,"28"
296,"35"
297,"30"
298,"34"
299,"40"
300,"41"
301,"33"
302,"49"
303,"54"
304,"45"
305,"90"
306,"105"
307,"163"
308,"285"
309,"443"
310,"808"
311,"1302"
312,"1970"
313,"2860"
314,"4153"
315,"5568"
316,"7100"
317,"8578"
318,"9902"
319,"10601"
320,"11002"
321,"10727"
322,"9984"
323,"8683"
324,"7469"
325,"5984"
326,"4679"
327,"3344"
328,"2400"
329,"1643"
330,"1102"
331,"762"
332,"482"
333,"334"
334,"232"
335,"190"
336,"133"
337,"136"
338,"125"
339,"104"
340,"123"
341,"159"
342,"201"
343,"263"
344,"353"
345,"464"
346,"633"
347,"841"
348,"1064"
349,"1273"
350,"1503"
351,"1644"
352,"1788"
353,"1787"
354,"1729"
355,"1603"
356,"1288"
357,"1186"
358,"935"
359,"772"
360,"577"
361,"406"
362,"280"
363,"177"
364,"121"
365,"81"
366,"64"
367,"68"
368,"46"
369,"53"
370,"50"
371,"61"
372,"60"
373,"69"
374,"47"
375,"65"
376,"57"
377,"52"
378,"48"
379,"34"
380,"38"
381,"30"
382,"30"
383,"12"
384,"19"
385,"20"
386,"16"
387,"8"
388,"11"
389,"26"
390,"9"
391,"12"
392,"16"
393,"13"
394,"16"
395,"8"
396,"12"
397,"9"
398,"17"
399,"17"
400,"18"
401,"15"
402,"22"
403,"15"
404,"16"
405,"19"
406,"14"
407,"13"
408,"14"
409,"24"
410,"11"
411,"18"
412,"17"
413,"24"
414,"19"
415,"17"
416,"24"
417,"19"
418,"21"
419,"20"
420,"29"
421,"21"
422,"24"
423,"20"
424,"17"
425,"13"
426,"17"
427,"15"
428,"18"
429,"22"
430,"13"
431,"18"
432,"13"
433,"20"
434,"15"
435,"9"
436,"9"
437,"8"
438,"15"
439,"10"
440,"11"
441,"5"
442,"9"
443,"14"
444,"7"
445,"6"
446,"3"
447,"5"
448,"11"
449,"3"
450,"3"
451,"7"
452,"7"
453,"7"
454,"6"
455,"6"
456,"7"
457,"10"
458,"8"
459,"3"
460,"13"
461,"15"
462,"13"
463,"8"
464,"6"
465,"10"
466,"7"
467,"11"
468,"3"
469,"11"
470,"6"
471,"6"
472,"12"
473,"6"
474,"7"
475,"6"
476,"3"
477,"13"
478,"15"
479,"13"
480,"18"
481,"22"
482,"19"
483,"13"
484,"18"
485,"13"
486,"19"
487,"17"
488,"13"
489,"13"
490,"11"
491,"16"
492,"12"
493,"12"
494,"11"
495,"9"
496,"15"
497,"11"
498,"12"
499,"10"
500,"10"
501,"4"
502,"20"
