Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130208-KransvleiCH009-300sec-2"
Duration Time,300
Ambient Temperature,"101.7"
Detector Temperature,"-39.5"
Valid Accumulated Counts,"461674"
Raw Accumulated Counts,"537273"
Valid Count Last Packet,"1564"
Raw Count Last Packet,"1848"
Live Time,283.556274
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,776
Channel#,Intensity
0,"1"
1,"0"
2,"1"
3,"0"
4,"0"
5,"0"
6,"0"
7,"0"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"1"
17,"2"
18,"1"
19,"1"
20,"1"
21,"7"
22,"6"
23,"13"
24,"13"
25,"27"
26,"53"
27,"61"
28,"86"
29,"103"
30,"152"
31,"177"
32,"175"
33,"219"
34,"178"
35,"231"
36,"218"
37,"243"
38,"256"
39,"225"
40,"235"
41,"269"
42,"227"
43,"263"
44,"245"
45,"248"
46,"243"
47,"253"
48,"274"
49,"250"
50,"275"
51,"277"
52,"244"
53,"233"
54,"271"
55,"268"
56,"246"
57,"290"
58,"323"
59,"258"
60,"307"
61,"296"
62,"292"
63,"295"
64,"265"
65,"268"
66,"303"
67,"281"
68,"268"
69,"279"
70,"239"
71,"253"
72,"274"
73,"262"
74,"281"
75,"264"
76,"250"
77,"258"
78,"252"
79,"237"
80,"239"
81,"257"
82,"250"
83,"248"
84,"228"
85,"262"
86,"248"
87,"257"
88,"249"
89,"256"
90,"247"
91,"240"
92,"211"
93,"248"
94,"223"
95,"231"
96,"234"
97,"242"
98,"245"
99,"228"
100,"233"
101,"242"
102,"234"
103,"211"
104,"198"
105,"190"
106,"177"
107,"217"
108,"189"
109,"216"
110,"198"
111,"186"
112,"178"
113,"217"
114,"191"
115,"194"
116,"199"
117,"188"
118,"180"
119,"199"
120,"191"
121,"193"
122,"182"
123,"179"
124,"197"
125,"194"
126,"180"
127,"195"
128,"181"
129,"180"
130,"172"
131,"175"
132,"163"
133,"209"
134,"188"
135,"135"
136,"165"
137,"150"
138,"165"
139,"155"
140,"149"
141,"173"
142,"174"
143,"165"
144,"165"
145,"172"
146,"141"
147,"173"
148,"136"
149,"164"
150,"160"
151,"136"
152,"158"
153,"134"
154,"113"
155,"139"
156,"142"
157,"134"
158,"136"
159,"146"
160,"143"
161,"145"
162,"138"
163,"131"
164,"128"
165,"142"
166,"116"
167,"125"
168,"132"
169,"137"
170,"118"
171,"141"
172,"122"
173,"101"
174,"95"
175,"114"
176,"111"
177,"80"
178,"97"
179,"94"
180,"79"
181,"119"
182,"96"
183,"127"
184,"106"
185,"84"
186,"76"
187,"83"
188,"85"
189,"105"
190,"81"
191,"70"
192,"87"
193,"74"
194,"82"
195,"65"
196,"82"
197,"71"
198,"67"
199,"74"
200,"79"
201,"61"
202,"52"
203,"57"
204,"54"
205,"63"
206,"57"
207,"55"
208,"50"
209,"55"
210,"50"
211,"43"
212,"46"
213,"56"
214,"53"
215,"63"
216,"66"
217,"57"
218,"45"
219,"53"
220,"63"
221,"63"
222,"58"
223,"74"
224,"57"
225,"95"
