Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130208-KransvleiCH008-300sec-5"
Duration Time,300
Ambient Temperature,"99.7"
Detector Temperature,"-40.0"
Valid Accumulated Counts,"604365"
Raw Accumulated Counts,"674232"
Valid Count Last Packet,"1986"
Raw Count Last Packet,"2210"
Live Time,279.073608
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,776
Channel#,Intensity
0,"1"
1,"0"
2,"0"
3,"1"
4,"0"
5,"0"
6,"0"
7,"0"
8,"0"
9,"1"
10,"1"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"2"
20,"1"
21,"2"
22,"1"
23,"4"
24,"11"
25,"9"
26,"20"
27,"22"
28,"36"
29,"48"
30,"54"
31,"79"
32,"90"
33,"95"
34,"95"
35,"114"
36,"124"
37,"122"
38,"109"
39,"133"
40,"132"
41,"110"
42,"98"
43,"114"
44,"123"
45,"134"
46,"115"
47,"128"
48,"138"
49,"134"
50,"134"
51,"130"
52,"134"
53,"137"
54,"124"
55,"140"
56,"151"
57,"174"
58,"186"
59,"174"
60,"156"
61,"150"
62,"169"
63,"155"
64,"200"
65,"142"
66,"165"
67,"163"
68,"165"
69,"170"
70,"205"
71,"168"
72,"172"
73,"171"
74,"137"
75,"144"
76,"138"
77,"138"
78,"134"
79,"142"
80,"144"
81,"122"
82,"143"
83,"119"
84,"133"
85,"129"
86,"135"
87,"114"
88,"123"
89,"108"
90,"118"
91,"109"
92,"98"
93,"116"
94,"117"
95,"101"
96,"122"
97,"103"
98,"99"
99,"116"
100,"121"
101,"108"
102,"117"
103,"115"
104,"93"
105,"93"
106,"122"
107,"92"
108,"101"
109,"89"
110,"105"
111,"95"
112,"111"
113,"98"
114,"92"
115,"98"
116,"98"
117,"92"
118,"95"
119,"92"
120,"102"
121,"98"
122,"98"
123,"98"
124,"101"
125,"105"
126,"93"
127,"95"
128,"83"
129,"79"
130,"96"
131,"75"
132,"82"
133,"93"
134,"95"
135,"102"
136,"89"
137,"81"
138,"77"
139,"86"
140,"96"
141,"84"
142,"82"
143,"74"
144,"94"
145,"69"
146,"82"
147,"88"
148,"85"
149,"91"
150,"86"
151,"86"
152,"72"
153,"69"
154,"88"
155,"54"
156,"87"
157,"82"
158,"87"
159,"84"
160,"88"
161,"64"
162,"82"
163,"86"
164,"82"
165,"69"
166,"69"
167,"75"
168,"90"
169,"64"
170,"74"
171,"59"
172,"61"
173,"62"
174,"67"
175,"64"
176,"72"
177,"59"
178,"64"
179,"78"
180,"83"
181,"56"
182,"55"
183,"70"
184,"75"
185,"62"
186,"75"
187,"63"
188,"66"
189,"65"
190,"48"
191,"56"
192,"60"
193,"61"
194,"76"
195,"88"
196,"59"
197,"64"
198,"81"
199,"81"
200,"97"
201,"69"
202,"82"
203,"65"
204,"41"
205,"59"
206,"53"
207,"57"
208,"44"
209,"43"
210,"48"
211,"43"
212,"40"
213,"41"
214,"66"
215,"60"
216,"62"
217,"63"
218,"80"
219,"90"
220,"98"
221,"106"
222,"157"
223,"143"
224,"163"
225,"167"
226,"203"
227,"216"
228,"188"
229,"205"
230,"201"
231,"226"
232,"191"
233,"205"
234,"134"
235,"158"
236,"123"
237,"107"
238,"105"
239,"78"
240,"76"
241,"72"
242,"78"
243,"72"
244,"70"
245,"80"
246,"73"
247,"84"
248,"79"
249,"87"
250,"67"
251,"66"
252,"44"
253,"62"
254,"58"
255,"49"
256,"51"
257,"44"
258,"61"
259,"58"
260,"60"
261,"55"
262,"67"
263,"52"
264,"58"
265,"73"
266,"82"
267,"81"
268,"79"
269,"64"
270,"82"
271,"75"
272,"70"
273,"77"
274,"69"
275,"60"
276,"61"
277,"78"
278,"54"
279,"55"
280,"47"
281,"37"
282,"62"
283,"40"
284,"52"
285,"35"
286,"24"
287,"30"
288,"51"
289,"35"
290,"43"
291,"49"
292,"65"
293,"67"
294,"63"
295,"69"
296,"79"
297,"68"
298,"87"
299,"82"
300,"77"
301,"108"
302,"127"
303,"118"
304,"137"
305,"204"
306,"266"
307,"443"
308,"704"
309,"1266"
310,"2107"
311,"3422"
312,"5463"
313,"8198"
314,"11258"
315,"15338"
316,"19787"
317,"24038"
318,"27763"
319,"29927"
320,"31060"
321,"30472"
322,"27867"
323,"24703"
324,"20779"
325,"16751"
326,"12549"
327,"9260"
328,"6766"
329,"4512"
330,"2954"
331,"2052"
332,"1356"
333,"960"
334,"723"
335,"580"
336,"517"
337,"476"
338,"472"
339,"462"
340,"520"
341,"645"
342,"681"
343,"906"
344,"1154"
345,"1670"
346,"2045"
347,"2588"
348,"3345"
349,"3978"
350,"4601"
351,"5050"
352,"5423"
353,"5554"
354,"5267"
355,"4841"
356,"4296"
357,"3628"
358,"2780"
359,"2168"
360,"1553"
361,"1108"
362,"745"
363,"543"
364,"413"
365,"264"
366,"172"
367,"150"
368,"108"
369,"108"
370,"85"
371,"83"
372,"101"
373,"93"
374,"63"
375,"88"
376,"78"
377,"72"
378,"83"
379,"92"
380,"75"
381,"59"
382,"81"
383,"60"
384,"61"
385,"55"
386,"62"
387,"53"
388,"50"
389,"43"
390,"54"
391,"26"
392,"28"
393,"37"
394,"27"
395,"23"
396,"21"
397,"21"
398,"13"
399,"20"
400,"20"
401,"17"
402,"20"
403,"13"
404,"17"
405,"14"
406,"6"
407,"11"
408,"14"
409,"8"
410,"12"
411,"11"
412,"19"
413,"18"
414,"22"
415,"19"
416,"27"
417,"23"
418,"13"
419,"19"
420,"23"
421,"11"
422,"18"
423,"21"
424,"19"
425,"12"
426,"12"
427,"14"
428,"21"
429,"14"
430,"22"
431,"20"
432,"23"
433,"13"
434,"11"
435,"12"
436,"11"
437,"18"
438,"7"
439,"12"
440,"10"
441,"6"
442,"7"
443,"10"
444,"5"
445,"7"
446,"7"
447,"10"
448,"4"
449,"10"
450,"6"
451,"7"
452,"5"
453,"6"
454,"10"
455,"5"
456,"11"
457,"7"
458,"10"
459,"10"
460,"7"
461,"12"
462,"11"
463,"9"
464,"7"
465,"14"
466,"11"
467,"10"
468,"6"
469,"9"
470,"3"
471,"8"
472,"5"
473,"11"
474,"5"
475,"11"
476,"10"
477,"11"
478,"10"
479,"9"
480,"16"
481,"15"
482,"15"
483,"13"
484,"8"
485,"15"
486,"16"
487,"10"
488,"11"
489,"18"
490,"10"
491,"17"
492,"5"
493,"5"
494,"10"
495,"7"
496,"11"
497,"8"
498,"6"
499,"7"
500,"6"
501,"5"
502,"8"
503,"8"
504,"5"
505,"14"
506,"5"
507,"8"
508,"3"
509,"8"
510,"11"
511,"4"
512,"11"
513,"2"
514,"6"
515,"6"
516,"11"
517,"9"
518,"7"
519,"12"
520,"9"
521,"13"
522,"18"
523,"21"
524,"20"
525,"16"
526,"18"
527,"27"
528,"19"
529,"19"
530,"20"
531,"16"
532,"22"
533,"13"
534,"13"
535,"11"
536,"7"
537,"2"
538,"6"
539,"11"
540,"6"
541,"1"
542,"3"
543,"3"
544,"5"
545,"4"
546,"5"
547,"7"
548,"3"
549,"10"
550,"8"
551,"5"
552,"8"
553,"3"
554,"8"
555,"13"
556,"7"
557,"7"
558,"4"
559,"7"
560,"10"
561,"11"
562,"9"
563,"11"
564,"11"
565,"10"
566,"10"
567,"5"
568,"7"
569,"10"
570,"11"
571,"10"
572,"5"
573,"9"
574,"9"
575,"3"
576,"3"
577,"9"
578,"2"
579,"5"
580,"10"
581,"6"
582,"3"
583,"8"
584,"5"
585,"6"
586,"16"
587,"7"
588,"9"
589,"4"
590,"7"
591,"6"
592,"4"
593,"8"
594,"7"
595,"6"
596,"5"
597,"8"
598,"5"
599,"7"
600,"8"
601,"5"
602,"5"
603,"8"
604,"4"
605,"3"
606,"4"
607,"11"
608,"2"
609,"7"
610,"2"
611,"2"
612,"5"
613,"6"
614,"8"
615,"5"
616,"3"
617,"4"
618,"6"
619,"6"
620,"3"
621,"8"
622,"7"
623,"11"
624,"10"
625,"15"
626,"16"
627,"9"
628,"15"
629,"12"
630,"27"
631,"19"
632,"28"
633,"22"
634,"31"
635,"39"
636,"44"
637,"37"
638,"54"
639,"51"
640,"34"
641,"48"
642,"53"
643,"34"
644,"38"
645,"28"
646,"25"
647,"19"
648,"22"
649,"32"
650,"16"
651,"14"
652,"17"
653,"13"
654,"10"
655,"6"
656,"5"
657,"8"
658,"9"
659,"9"
660,"2"
661,"16"
662,"6"
663,"10"
664,"7"
665,"12"
666,"5"
667,"9"
668,"16"
669,"18"
670,"20"
671,"17"
672,"19"
673,"13"
674,"19"
675,"24"
676,"18"
677,"13"
678,"9"
679,"12"
680,"15"
681,"8"
682,"6"
683,"11"
684,"10"
685,"6"
686,"3"
687,"5"
688,"5"
689,"5"
690,"9"
691,"7"
692,"9"
693,"7"
694,"6"
695,"12"
696,"12"
697,"13"
698,"14"
699,"17"
700,"24"
701,"23"
702,"23"
703,"27"
704,"28"
705,"33"
706,"31"
707,"30"
708,"41"
709,"47"
710,"35"
711,"20"
712,"24"
713,"20"
714,"22"
715,"12"
716,"16"
717,"10"
718,"6"
719,"12"
720,"5"
721,"7"
722,"6"
723,"1"
724,"5"
725,"9"
726,"3"
727,"8"
728,"7"
729,"4"
730,"6"
731,"4"
732,"13"
733,"6"
734,"11"
735,"11"
736,"9"
737,"15"
738,"19"
739,"19"
740,"19"
741,"24"
742,"16"
743,"27"
744,"39"
745,"31"
746,"37"
747,"38"
748,"28"
749,"27"
750,"38"
751,"25"
752,"19"
753,"23"
754,"22"
755,"19"
756,"14"
757,"6"
758,"10"
759,"9"
760,"13"
761,"7"
762,"8"
763,"8"
764,"8"
765,"5"
766,"3"
767,"10"
768,"9"
769,"8"
770,"10"
771,"7"
772,"10"
773,"11"
774,"22"
775,"23"
776,"30"
777,"36"
778,"40"
779,"53"
780,"64"
781,"61"
782,"83"
783,"91"
784,"119"
785,"111"
786,"114"
787,"133"
788,"123"
789,"114"
790,"127"
791,"102"
792,"87"
793,"80"
794,"80"
795,"48"
796,"44"
797,"42"
798,"26"
799,"26"
800,"20"
801,"15"
802,"15"
803,"11"
804,"13"
805,"10"
806,"11"
807,"19"
808,"12"
809,"16"
810,"14"
811,"9"
812,"10"
813,"11"
814,"9"
815,"17"
816,"13"
817,"6"
818,"12"
819,"10"
820,"16"
821,"14"
822,"16"
823,"23"
824,"17"
825,"19"
826,"14"
827,"26"
828,"19"
829,"21"
830,"21"
831,"32"
832,"19"
833,"31"
834,"28"
835,"18"
836,"24"
837,"13"
838,"22"
839,"10"
840,"11"
841,"22"
842,"23"
843,"11"
844,"15"
845,"15"
846,"7"
847,"11"
848,"18"
849,"11"
850,"9"
851,"20"
852,"10"
853,"14"
854,"11"
855,"18"
856,"12"
857,"9"
858,"15"
859,"11"
860,"10"
861,"16"
862,"18"
863,"18"
864,"16"
865,"7"
866,"15"
867,"21"
868,"24"
869,"15"
870,"23"
871,"22"
872,"25"
873,"17"
874,"29"
875,"25"
876,"26"
877,"23"
878,"34"
879,"43"
880,"26"
881,"40"
882,"30"
883,"32"
884,"44"
885,"27"
886,"33"
887,"31"
888,"31"
889,"21"
890,"29"
891,"32"
892,"25"
893,"21"
894,"21"
895,"24"
896,"21"
897,"27"
898,"22"
899,"21"
900,"20"
901,"20"
902,"13"
903,"24"
904,"32"
905,"18"
906,"21"
907,"22"
908,"21"
909,"22"
910,"27"
911,"24"
912,"24"
913,"20"
914,"27"
915,"25"
916,"30"
917,"25"
918,"33"
919,"25"
920,"18"
921,"29"
922,"24"
923,"33"
924,"31"
925,"30"
926,"44"
927,"35"
928,"42"
929,"41"
930,"49"
931,"47"
932,"38"
933,"49"
934,"44"
935,"59"
936,"46"
937,"40"
938,"57"
939,"46"
940,"40"
941,"61"
942,"68"
943,"54"
944,"80"
945,"52"
946,"55"
947,"80"
948,"107"
949,"79"
950,"78"
951,"101"
952,"71"
953,"93"
954,"76"
955,"90"
956,"78"
957,"85"
958,"86"
959,"80"
960,"89"
961,"86"
962,"80"
963,"90"
964,"76"
965,"73"
966,"86"
967,"87"
968,"53"
969,"55"
970,"76"
971,"72"
972,"77"
973,"59"
974,"50"
975,"58"
976,"58"
977,"55"
978,"50"
979,"41"
980,"55"
981,"58"
982,"65"
983,"54"
984,"58"
985,"40"
986,"41"
987,"54"
988,"43"
989,"60"
990,"48"
991,"64"
992,"67"
993,"50"
994,"68"
995,"74"
996,"66"
997,"85"
998,"79"
999,"88"
1000,"112"
1001,"123"
1002,"117"
1003,"122"
1004,"126"
1005,"135"
1006,"153"
1007,"190"
1008,"138"
1009,"137"
1010,"169"
1011,"166"
1012,"131"
1013,"143"
1014,"130"
1015,"105"
1016,"94"
1017,"86"
1018,"82"
1019,"79"
1020,"66"
1021,"63"
1022,"70"
1023,"67"
1024,"50"
1025,"71"
1026,"66"
1027,"54"
1028,"62"
1029,"48"
1030,"49"
1031,"55"
1032,"46"
1033,"71"
1034,"52"
1035,"57"
1036,"56"
1037,"65"
1038,"62"
1039,"75"
1040,"62"
1041,"45"
1042,"48"
1043,"78"
1044,"73"
1045,"61"
1046,"67"
1047,"77"
1048,"71"
1049,"80"
1050,"68"
1051,"66"
1052,"68"
1053,"76"
1054,"82"
1055,"76"
1056,"75"
1057,"83"
1058,"84"
1059,"97"
1060,"85"
1061,"94"
1062,"76"
1063,"78"
1064,"94"
1065,"110"
1066,"94"
1067,"96"
1068,"116"
1069,"109"
1070,"92"
1071,"104"
1072,"98"
1073,"106"
1074,"113"
1075,"110"
1076,"91"
1077,"104"
1078,"104"
1079,"106"
1080,"86"
1081,"81"
1082,"108"
1083,"90"
1084,"101"
1085,"102"
1086,"104"
1087,"88"
1088,"88"
1089,"95"
1090,"109"
1091,"85"
1092,"94"
1093,"96"
1094,"102"
1095,"93"
1096,"90"
1097,"91"
1098,"83"
1099,"81"
1100,"113"
1101,"97"
1102,"105"
1103,"87"
1104,"92"
1105,"94"
1106,"92"
1107,"104"
1108,"115"
1109,"94"
1110,"106"
1111,"82"
1112,"88"
1113,"96"
1114,"89"
1115,"89"
1116,"85"
1117,"95"
1118,"85"
1119,"83"
1120,"96"
1121,"98"
1122,"95"
1123,"86"
1124,"114"
1125,"85"
1126,"94"
1127,"115"
1128,"101"
1129,"115"
1130,"136"
1131,"134"
1132,"131"
1133,"141"
1134,"129"
1135,"139"
1136,"129"
1137,"135"
1138,"131"
1139,"147"
1140,"158"
1141,"129"
1142,"105"
1143,"117"
1144,"111"
1145,"128"
1146,"117"
1147,"106"
1148,"102"
1149,"103"
1150,"95"
1151,"116"
1152,"115"
1153,"104"
1154,"101"
1155,"105"
1156,"101"
1157,"110"
1158,"109"
1159,"98"
1160,"111"
1161,"123"
1162,"111"
1163,"102"
1164,"113"
1165,"119"
1166,"104"
1167,"102"
1168,"111"
1169,"85"
1170,"101"
1171,"106"
1172,"98"
1173,"101"
1174,"120"
1175,"101"
1176,"94"
1177,"114"
1178,"104"
1179,"94"
1180,"85"
1181,"103"
1182,"122"
1183,"125"
1184,"91"
1185,"100"
1186,"96"
1187,"104"
1188,"119"
1189,"115"
1190,"127"
1191,"106"
1192,"112"
1193,"116"
1194,"127"
1195,"123"
1196,"107"
1197,"123"
1198,"120"
1199,"109"
1200,"119"
1201,"122"
1202,"145"
1203,"120"
1204,"142"
1205,"110"
1206,"107"
1207,"117"
1208,"125"
1209,"125"
1210,"104"
1211,"123"
1212,"126"
1213,"122"
1214,"113"
1215,"121"
1216,"124"
1217,"126"
1218,"124"
1219,"121"
1220,"158"
1221,"111"
1222,"136"
1223,"151"
1224,"128"
1225,"136"
1226,"122"
1227,"120"
1228,"147"
1229,"138"
1230,"138"
1231,"121"
1232,"133"
1233,"141"
1234,"124"
1235,"151"
1236,"152"
1237,"129"
1238,"130"
1239,"140"
1240,"129"
1241,"117"
1242,"147"
1243,"148"
1244,"174"
1245,"160"
1246,"170"
1247,"162"
1248,"153"
1249,"169"
1250,"133"
1251,"163"
1252,"156"
1253,"163"
1254,"180"
1255,"172"
1256,"143"
1257,"157"
