Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130215-brick679-300sec-4"
Duration Time,300
Ambient Temperature,"93.8"
Detector Temperature,"-40.5"
Valid Accumulated Counts,"394076"
Raw Accumulated Counts,"448027"
Valid Count Last Packet,"1327"
Raw Count Last Packet,"1469"
Live Time,286.124969
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,779
Channel#,Intensity
0,"1"
1,"0"
2,"0"
3,"1"
4,"0"
5,"1"
6,"0"
7,"0"
8,"0"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"1"
18,"0"
19,"0"
20,"0"
21,"3"
22,"2"
23,"7"
24,"18"
25,"20"
26,"33"
27,"38"
28,"53"
29,"75"
30,"96"
31,"112"
32,"104"
33,"139"
34,"142"
35,"142"
36,"157"
37,"157"
38,"195"
39,"165"
40,"169"
41,"174"
42,"170"
43,"168"
44,"174"
45,"168"
46,"182"
47,"162"
48,"174"
49,"186"
50,"200"
51,"159"
52,"183"
53,"175"
54,"188"
55,"203"
56,"200"
57,"212"
58,"208"
59,"195"
60,"214"
61,"206"
62,"214"
63,"207"
64,"205"
65,"221"
66,"223"
67,"232"
68,"236"
69,"196"
70,"212"
71,"193"
72,"202"
73,"190"
74,"208"
75,"202"
76,"194"
77,"191"
78,"193"
79,"174"
80,"193"
81,"172"
82,"189"
83,"180"
84,"176"
85,"189"
86,"164"
87,"179"
88,"168"
89,"179"
90,"139"
91,"206"
92,"166"
93,"153"
94,"147"
95,"156"
96,"183"
97,"179"
98,"159"
99,"158"
100,"155"
101,"178"
102,"123"
103,"143"
104,"154"
105,"167"
106,"152"
107,"132"
108,"164"
109,"144"
110,"144"
111,"135"
112,"155"
113,"120"
114,"139"
115,"143"
116,"139"
117,"139"
118,"143"
119,"135"
120,"128"
121,"139"
122,"129"
123,"109"
124,"118"
125,"130"
126,"117"
127,"138"
128,"117"
129,"107"
130,"125"
131,"145"
132,"105"
133,"127"
134,"147"
135,"122"
136,"101"
137,"106"
138,"115"
139,"120"
140,"101"
141,"115"
142,"116"
143,"104"
144,"113"
145,"109"
146,"118"
147,"110"
148,"116"
149,"96"
150,"112"
151,"84"
152,"91"
153,"96"
154,"107"
155,"117"
156,"108"
157,"95"
158,"118"
159,"118"
160,"110"
161,"102"
162,"126"
163,"134"
164,"152"
165,"157"
166,"151"
167,"161"
168,"109"
169,"148"
170,"128"
171,"107"
172,"95"
173,"108"
174,"91"
175,"91"
176,"74"
177,"78"
178,"76"
179,"88"
180,"91"
181,"83"
182,"75"
183,"70"
184,"79"
185,"91"
186,"77"
187,"73"
188,"69"
189,"62"
190,"60"
191,"63"
192,"66"
193,"57"
194,"64"
195,"60"
196,"62"
197,"48"
198,"60"
199,"68"
200,"60"
201,"63"
202,"57"
203,"55"
204,"56"
205,"54"
206,"46"
207,"40"
208,"40"
209,"49"
210,"40"
211,"35"
212,"44"
213,"32"
214,"43"
215,"44"
216,"43"
217,"32"
218,"53"
219,"62"
220,"87"
221,"91"
222,"88"
223,"94"
224,"136"
225,"117"
226,"120"
227,"133"
228,"141"
229,"124"
230,"96"
231,"86"
232,"97"
233,"81"
234,"82"
235,"57"
236,"67"
237,"44"
238,"61"
239,"43"
240,"51"
241,"38"
242,"40"
243,"66"
244,"40"
245,"41"
246,"49"
247,"49"
248,"42"
249,"42"
250,"43"
251,"42"
252,"31"
253,"34"
254,"36"
255,"38"
256,"32"
257,"27"
258,"28"
259,"26"
260,"26"
261,"28"
262,"29"
263,"31"
264,"26"
265,"25"
266,"29"
267,"21"
268,"30"
269,"23"
270,"27"
271,"34"
272,"26"
273,"26"
274,"29"
275,"26"
276,"29"
277,"28"
278,"13"
279,"25"
280,"22"
281,"17"
282,"23"
283,"21"
284,"22"
285,"38"
286,"43"
287,"40"
288,"43"
289,"47"
290,"63"
291,"80"
292,"94"
293,"116"
294,"117"
295,"119"
296,"117"
297,"98"
298,"115"
299,"85"
300,"76"
301,"74"
302,"69"
303,"55"
304,"54"
305,"64"
306,"82"
307,"105"
308,"187"
309,"311"
310,"509"
311,"821"
312,"1333"
313,"2004"
314,"2629"
315,"3612"
316,"4664"
317,"5494"
318,"6548"
319,"6978"
320,"7182"
321,"7061"
322,"6675"
323,"5828"
324,"4889"
325,"3974"
326,"3015"
327,"2199"
328,"1576"
329,"1164"
330,"771"
331,"513"
332,"362"
333,"221"
334,"199"
335,"174"
336,"170"
337,"140"
338,"130"
339,"91"
340,"125"
341,"144"
342,"189"
343,"226"
344,"295"
345,"365"
346,"482"
347,"665"
348,"798"
349,"952"
350,"1136"
351,"1192"
352,"1240"
353,"1272"
354,"1268"
355,"1151"
356,"980"
357,"859"
358,"639"
359,"530"
360,"410"
361,"273"
362,"223"
363,"145"
364,"97"
365,"68"
366,"72"
367,"55"
368,"57"
369,"62"
370,"49"
371,"56"
372,"72"
373,"57"
374,"82"
375,"79"
376,"64"
377,"59"
378,"52"
379,"50"
380,"44"
381,"42"
382,"19"
383,"28"
384,"33"
385,"25"
386,"26"
387,"19"
388,"22"
389,"21"
390,"20"
391,"15"
392,"20"
393,"15"
394,"18"
395,"17"
396,"17"
397,"17"
398,"13"
399,"23"
400,"21"
401,"17"
402,"20"
403,"28"
404,"27"
405,"21"
406,"27"
407,"19"
408,"20"
409,"16"
410,"26"
411,"17"
412,"18"
413,"16"
414,"22"
415,"22"
416,"18"
417,"29"
418,"25"
419,"30"
420,"23"
421,"27"
422,"16"
423,"19"
424,"22"
425,"22"
426,"32"
427,"31"
428,"45"
429,"36"
430,"42"
431,"41"
432,"39"
433,"47"
434,"42"
435,"30"
436,"25"
437,"20"
438,"27"
439,"25"
440,"15"
441,"11"
442,"9"
443,"10"
444,"8"
445,"9"
446,"16"
447,"6"
448,"11"
449,"7"
450,"13"
451,"7"
452,"11"
453,"10"
454,"17"
455,"8"
456,"13"
457,"17"
458,"19"
459,"18"
460,"16"
461,"17"
462,"9"
463,"18"
464,"16"
465,"15"
466,"10"
467,"9"
468,"5"
469,"12"
470,"11"
471,"11"
472,"11"
473,"15"
474,"19"
475,"12"
476,"15"
477,"17"
478,"20"
479,"23"
480,"14"
481,"12"
482,"29"
483,"17"
484,"24"
485,"20"
486,"23"
487,"9"
488,"21"
489,"18"
490,"14"
491,"16"
492,"14"
493,"14"
494,"14"
495,"12"
496,"10"
497,"15"
498,"9"
499,"12"
500,"9"
501,"8"
502,"4"
503,"12"
504,"4"
505,"5"
506,"10"
507,"10"
508,"6"
509,"7"
510,"11"
511,"8"
512,"9"
513,"9"
514,"5"
515,"5"
516,"9"
517,"8"
518,"9"
519,"12"
520,"12"
521,"17"
522,"21"
523,"22"
524,"19"
525,"17"
526,"24"
527,"21"
528,"23"
529,"21"
530,"21"
531,"10"
532,"14"
533,"10"
534,"12"
535,"15"
536,"8"
537,"10"
538,"5"
539,"3"
540,"5"
541,"6"
542,"8"
543,"7"
544,"3"
545,"10"
546,"12"
547,"6"
548,"3"
549,"6"
550,"6"
551,"3"
552,"3"
553,"6"
554,"7"
555,"8"
556,"10"
557,"8"
558,"10"
559,"5"
560,"8"
561,"5"
562,"8"
563,"7"
564,"7"
565,"3"
566,"9"
567,"6"
568,"8"
569,"6"
570,"3"
571,"6"
572,"4"
573,"7"
574,"7"
575,"6"
576,"8"
577,"4"
578,"7"
579,"4"
580,"6"
581,"6"
582,"5"
583,"5"
584,"7"
585,"8"
586,"8"
587,"11"
588,"11"
589,"6"
590,"9"
591,"13"
592,"7"
593,"4"
594,"5"
595,"8"
596,"5"
597,"1"
598,"9"
599,"5"
600,"8"
601,"4"
602,"9"
603,"5"
604,"2"
605,"7"
606,"5"
607,"8"
608,"6"
609,"5"
610,"9"
611,"9"
612,"6"
613,"9"
614,"8"
615,"3"
616,"4"
617,"6"
618,"6"
619,"9"
620,"13"
621,"11"
622,"11"
623,"5"
624,"8"
625,"19"
626,"12"
627,"16"
628,"17"
629,"16"
630,"18"
631,"16"
632,"20"
633,"6"
634,"10"
635,"19"
636,"15"
637,"17"
638,"16"
639,"13"
640,"10"
641,"17"
642,"16"
643,"13"
644,"19"
645,"20"
646,"14"
647,"7"
648,"10"
649,"18"
650,"14"
651,"13"
652,"18"
653,"11"
654,"21"
655,"18"
656,"20"
657,"27"
658,"39"
659,"38"
660,"63"
661,"83"
662,"97"
663,"124"
664,"153"
665,"188"
666,"196"
667,"233"
668,"222"
669,"203"
670,"205"
671,"195"
672,"190"
673,"175"
674,"134"
675,"111"
676,"93"
677,"101"
678,"59"
679,"48"
680,"30"
681,"35"
682,"25"
683,"13"
684,"21"
685,"9"
686,"13"
687,"12"
688,"14"
689,"14"
690,"8"
691,"5"
692,"15"
693,"6"
694,"13"
695,"20"
696,"27"
697,"23"
698,"33"
699,"39"
700,"43"
701,"43"
702,"69"
703,"82"
704,"95"
705,"99"
706,"106"
707,"103"
708,"86"
709,"103"
710,"84"
711,"79"
712,"87"
713,"68"
714,"51"
715,"43"
716,"45"
717,"25"
718,"18"
719,"27"
720,"21"
721,"16"
722,"12"
723,"12"
724,"6"
725,"14"
726,"16"
727,"15"
728,"13"
729,"9"
730,"12"
731,"6"
732,"13"
733,"21"
734,"11"
735,"26"
736,"33"
737,"33"
738,"30"
739,"44"
740,"42"
741,"59"
742,"65"
743,"69"
744,"94"
745,"114"
746,"108"
747,"88"
748,"100"
749,"92"
750,"84"
751,"78"
752,"60"
753,"61"
754,"52"
755,"55"
756,"43"
