Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130215-brick679-300sec-1"
Duration Time,300
Ambient Temperature,"90.4"
Detector Temperature,"-40.0"
Valid Accumulated Counts,"391617"
Raw Accumulated Counts,"445611"
Valid Count Last Packet,"1314"
Raw Count Last Packet,"1488"
Live Time,286.207947
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,780
Channel#,Intensity
0,"1"
1,"1"
2,"0"
3,"0"
4,"0"
5,"1"
6,"0"
7,"1"
8,"0"
9,"0"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"0"
21,"2"
22,"4"
23,"6"
24,"7"
25,"16"
26,"23"
27,"51"
28,"50"
29,"66"
30,"88"
31,"110"
32,"126"
33,"134"
34,"135"
35,"149"
36,"155"
37,"161"
38,"151"
39,"153"
40,"164"
41,"131"
42,"172"
43,"159"
44,"152"
45,"182"
46,"164"
47,"171"
48,"184"
49,"183"
50,"185"
51,"202"
52,"162"
53,"196"
54,"188"
55,"205"
56,"240"
57,"206"
58,"160"
59,"207"
60,"236"
61,"198"
62,"207"
63,"199"
64,"218"
65,"198"
66,"213"
67,"207"
68,"201"
69,"199"
70,"230"
71,"226"
72,"190"
73,"208"
74,"196"
75,"209"
76,"173"
77,"184"
78,"206"
79,"189"
80,"177"
81,"154"
82,"190"
83,"177"
84,"186"
85,"175"
86,"176"
87,"174"
88,"164"
89,"180"
90,"169"
91,"165"
92,"164"
93,"148"
94,"151"
95,"163"
96,"167"
97,"181"
98,"143"
99,"167"
100,"139"
101,"140"
102,"174"
103,"149"
104,"163"
105,"123"
106,"133"
107,"140"
108,"126"
109,"121"
110,"153"
111,"137"
112,"134"
113,"141"
114,"154"
115,"130"
116,"133"
117,"123"
118,"143"
119,"130"
120,"119"
121,"149"
122,"122"
123,"122"
124,"132"
125,"109"
126,"124"
127,"125"
128,"117"
129,"115"
130,"113"
131,"132"
132,"112"
133,"131"
134,"117"
135,"94"
136,"107"
137,"105"
138,"111"
139,"119"
140,"119"
141,"112"
142,"89"
143,"134"
144,"114"
145,"103"
146,"110"
147,"100"
148,"114"
149,"102"
150,"115"
151,"118"
152,"109"
153,"106"
154,"96"
155,"136"
156,"89"
157,"103"
158,"94"
159,"114"
160,"100"
161,"126"
162,"125"
163,"134"
164,"157"
165,"136"
166,"146"
167,"141"
168,"131"
169,"134"
170,"116"
171,"101"
172,"87"
173,"96"
174,"79"
175,"78"
176,"95"
177,"84"
178,"71"
179,"89"
180,"94"
181,"101"
182,"83"
183,"86"
184,"83"
185,"67"
186,"82"
187,"79"
188,"69"
189,"57"
190,"73"
191,"61"
192,"62"
193,"52"
194,"64"
195,"64"
196,"55"
197,"45"
198,"70"
199,"62"
200,"64"
201,"57"
202,"43"
203,"57"
204,"62"
205,"45"
206,"38"
207,"43"
208,"40"
209,"38"
210,"42"
211,"37"
212,"32"
213,"39"
214,"39"
215,"38"
216,"28"
217,"44"
218,"51"
219,"57"
220,"58"
221,"83"
222,"93"
223,"101"
224,"136"
225,"128"
226,"127"
227,"114"
228,"116"
229,"104"
230,"107"
231,"88"
232,"71"
233,"75"
234,"70"
235,"53"
236,"72"
237,"50"
238,"43"
239,"51"
240,"53"
241,"38"
242,"38"
243,"58"
244,"40"
245,"49"
246,"41"
247,"44"
248,"39"
249,"33"
250,"41"
251,"30"
252,"29"
253,"34"
254,"27"
255,"34"
256,"27"
257,"27"
258,"33"
259,"25"
260,"33"
261,"20"
262,"34"
263,"23"
264,"24"
265,"29"
266,"27"
267,"26"
268,"34"
269,"29"
270,"24"
271,"24"
272,"39"
273,"22"
274,"28"
275,"26"
276,"18"
277,"26"
278,"25"
279,"17"
280,"27"
281,"23"
282,"29"
283,"22"
284,"21"
285,"30"
286,"40"
287,"31"
288,"38"
289,"55"
290,"57"
291,"78"
292,"95"
293,"103"
294,"111"
295,"120"
296,"118"
297,"135"
298,"103"
299,"60"
300,"77"
301,"53"
302,"58"
303,"70"
304,"50"
305,"58"
306,"83"
307,"106"
308,"182"
309,"325"
310,"494"
311,"805"
312,"1296"
313,"1895"
314,"2654"
315,"3734"
316,"4531"
317,"5638"
318,"6437"
319,"7056"
320,"7240"
321,"6904"
322,"6668"
323,"5756"
324,"4968"
325,"3844"
326,"2952"
327,"2176"
328,"1607"
329,"1115"
330,"755"
331,"564"
332,"406"
333,"283"
334,"200"
335,"187"
336,"122"
337,"121"
338,"114"
339,"120"
340,"120"
341,"138"
342,"180"
343,"247"
344,"285"
345,"363"
346,"488"
347,"609"
348,"785"
349,"949"
350,"1102"
