Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130215-brick679-300sec-9"
Duration Time,300
Ambient Temperature,"105.3"
Detector Temperature,"-37.5"
Valid Accumulated Counts,"396434"
Raw Accumulated Counts,"450760"
Valid Count Last Packet,"1362"
Raw Count Last Packet,"1537"
Live Time,286.038055
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,776
Channel#,Intensity
0,"1"
1,"1"
2,"2"
3,"0"
4,"1"
5,"0"
6,"1"
7,"0"
8,"0"
9,"0"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"1"
18,"1"
19,"0"
20,"1"
21,"2"
22,"8"
23,"7"
24,"11"
25,"26"
26,"33"
27,"28"
28,"56"
29,"66"
30,"89"
31,"109"
32,"129"
33,"145"
34,"157"
35,"149"
36,"182"
37,"159"
38,"171"
39,"143"
40,"169"
41,"191"
42,"157"
43,"170"
44,"203"
45,"167"
46,"171"
47,"148"
48,"180"
49,"186"
50,"193"
51,"182"
52,"194"
53,"175"
54,"210"
55,"219"
56,"201"
57,"220"
58,"205"
59,"203"
60,"203"
61,"198"
62,"198"
63,"207"
64,"218"
65,"200"
66,"197"
67,"198"
68,"191"
69,"209"
70,"205"
71,"187"
72,"213"
73,"194"
74,"196"
75,"179"
76,"188"
77,"197"
78,"176"
79,"202"
80,"181"
81,"156"
82,"170"
83,"163"
84,"185"
85,"191"
86,"185"
87,"131"
88,"160"
89,"174"
90,"171"
91,"156"
92,"162"
93,"162"
94,"173"
95,"165"
96,"140"
97,"143"
98,"174"
99,"133"
100,"150"
101,"143"
102,"133"
103,"149"
104,"155"
105,"134"
106,"144"
107,"135"
108,"119"
109,"170"
110,"145"
111,"128"
112,"140"
113,"116"
114,"120"
115,"161"
116,"142"
117,"127"
118,"138"
119,"131"
120,"111"
121,"131"
122,"113"
123,"128"
124,"119"
125,"132"
126,"125"
127,"121"
128,"115"
129,"116"
130,"116"
131,"119"
132,"133"
133,"126"
134,"95"
135,"137"
136,"96"
137,"129"
138,"95"
139,"114"
140,"119"
141,"105"
142,"115"
143,"120"
144,"93"
145,"122"
146,"102"
147,"117"
148,"113"
149,"119"
150,"97"
151,"97"
152,"90"
153,"97"
154,"88"
155,"111"
156,"98"
157,"98"
158,"100"
159,"109"
160,"128"
161,"124"
162,"125"
163,"125"
164,"147"
165,"134"
166,"152"
167,"135"
168,"132"
169,"112"
170,"119"
171,"87"
172,"102"
173,"100"
174,"89"
175,"104"
176,"77"
177,"77"
178,"84"
179,"78"
180,"92"
181,"88"
182,"93"
183,"92"
184,"89"
185,"71"
186,"79"
187,"55"
188,"59"
189,"57"
190,"71"
191,"64"
192,"53"
193,"63"
194,"67"
195,"72"
196,"43"
197,"67"
198,"69"
199,"49"
200,"58"
201,"60"
202,"57"
203,"52"
204,"42"
205,"47"
206,"54"
207,"51"
208,"48"
209,"53"
210,"48"
211,"39"
212,"38"
213,"38"
214,"33"
215,"33"
216,"50"
217,"51"
218,"47"
219,"91"
220,"80"
221,"89"
222,"84"
223,"106"
224,"120"
225,"114"
226,"136"
227,"133"
228,"131"
229,"114"
230,"100"
231,"119"
232,"83"
233,"85"
234,"73"
235,"65"
236,"55"
237,"45"
238,"51"
239,"43"
240,"52"
241,"49"
242,"40"
243,"36"
244,"43"
245,"34"
246,"39"
247,"37"
248,"39"
249,"38"
250,"42"
251,"39"
252,"33"
253,"35"
254,"30"
255,"35"
256,"29"
257,"28"
258,"34"
259,"28"
260,"23"
261,"25"
262,"29"
263,"36"
264,"30"
265,"34"
266,"30"
267,"24"
268,"29"
269,"35"
270,"27"
271,"34"
272,"28"
273,"30"
274,"29"
275,"26"
276,"21"
277,"33"
278,"29"
279,"23"
280,"18"
281,"19"
282,"16"
283,"39"
284,"25"
285,"36"
286,"26"
287,"43"
288,"48"
289,"51"
290,"79"
291,"81"
292,"80"
293,"93"
294,"117"
295,"118"
296,"109"
297,"99"
298,"103"
299,"89"
300,"64"
301,"81"
302,"59"
303,"48"
304,"60"
305,"70"
306,"80"
307,"125"
308,"184"
309,"292"
310,"505"
311,"880"
312,"1294"
313,"1937"
314,"2680"
315,"3695"
316,"4763"
317,"5849"
318,"6763"
319,"7441"
320,"7547"
321,"7529"
322,"7066"
323,"6180"
324,"5158"
325,"4177"
326,"3241"
327,"2364"
328,"1657"
329,"1154"
330,"788"
331,"481"
332,"296"
333,"214"
334,"124"
335,"109"
336,"83"
337,"73"
338,"50"
339,"62"
340,"72"
341,"76"
342,"98"
343,"163"
344,"212"
345,"323"
346,"411"
347,"580"
348,"696"
349,"880"
350,"1014"
351,"1206"
352,"1332"
353,"1286"
354,"1313"
355,"1277"
356,"1052"
357,"873"
358,"664"
359,"557"
360,"445"
361,"294"
362,"229"
363,"136"
364,"87"
365,"53"
366,"55"
367,"48"
368,"41"
369,"40"
370,"43"
371,"54"
372,"59"
373,"69"
374,"58"
375,"60"
376,"47"
377,"51"
378,"36"
379,"36"
380,"29"
381,"24"
382,"19"
383,"13"
384,"15"
385,"8"
386,"6"
387,"9"
388,"8"
389,"8"
390,"15"
391,"15"
392,"12"
393,"14"
394,"15"
395,"14"
396,"13"
397,"15"
398,"15"
399,"27"
400,"25"
401,"39"
402,"33"
403,"27"
404,"25"
405,"30"
406,"32"
407,"14"
408,"28"
409,"22"
410,"23"
411,"20"
