Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130214-KKH1.03-300sec-3"
Duration Time,300
Ambient Temperature,"91.6"
Detector Temperature,"-40.0"
Valid Accumulated Counts,"533753"
Raw Accumulated Counts,"593718"
Valid Count Last Packet,"1806"
Raw Count Last Packet,"2011"
Live Time,281.530945
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,779
Channel#,Intensity
0,"1"
1,"0"
2,"0"
3,"0"
4,"0"
5,"0"
6,"0"
7,"0"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"2"
18,"0"
19,"0"
20,"0"
21,"2"
22,"3"
23,"8"
24,"14"
25,"8"
26,"15"
27,"36"
28,"27"
29,"49"
30,"61"
31,"70"
32,"75"
33,"101"
34,"103"
35,"105"
36,"105"
37,"122"
38,"97"
39,"125"
40,"134"
41,"121"
42,"109"
43,"117"
44,"109"
45,"117"
46,"160"
47,"142"
48,"129"
49,"131"
50,"119"
51,"123"
52,"134"
53,"132"
54,"144"
55,"142"
56,"133"
57,"143"
58,"147"
59,"162"
60,"157"
61,"183"
62,"175"
63,"189"
64,"151"
65,"169"
66,"163"
67,"144"
68,"141"
69,"151"
70,"158"
71,"160"
72,"154"
73,"148"
74,"160"
75,"179"
76,"156"
77,"147"
78,"138"
79,"146"
80,"134"
81,"125"
82,"145"
83,"127"
84,"133"
85,"146"
86,"131"
87,"112"
88,"131"
89,"123"
90,"113"
91,"125"
92,"121"
93,"131"
94,"127"
95,"102"
96,"129"
97,"134"
98,"143"
99,"132"
100,"127"
101,"115"
102,"109"
103,"107"
104,"137"
105,"115"
106,"117"
107,"111"
108,"108"
109,"95"
110,"95"
111,"99"
112,"95"
113,"95"
114,"90"
115,"104"
116,"103"
117,"87"
118,"111"
119,"84"
120,"72"
121,"103"
122,"105"
123,"89"
124,"81"
125,"98"
126,"95"
127,"103"
128,"93"
129,"63"
130,"104"
131,"92"
132,"76"
133,"85"
134,"72"
135,"76"
136,"96"
137,"75"
138,"94"
139,"96"
140,"80"
141,"81"
142,"91"
143,"73"
144,"80"
145,"73"
146,"74"
147,"95"
148,"73"
149,"87"
150,"84"
151,"92"
152,"82"
153,"71"
154,"68"
155,"79"
156,"68"
157,"83"
158,"93"
159,"102"
160,"113"
161,"136"
162,"162"
163,"178"
164,"191"
165,"206"
166,"198"
167,"202"
168,"194"
169,"174"
170,"144"
171,"137"
172,"109"
173,"102"
174,"105"
175,"79"
176,"67"
177,"84"
178,"77"
179,"92"
180,"78"
181,"95"
182,"104"
183,"91"
184,"69"
185,"67"
186,"70"
187,"76"
188,"68"
189,"62"
190,"54"
191,"65"
192,"62"
193,"62"
194,"67"
195,"73"
196,"95"
197,"80"
198,"73"
199,"63"
200,"61"
201,"71"
202,"67"
203,"66"
204,"62"
205,"61"
206,"49"
207,"40"
208,"39"
209,"53"
210,"39"
