Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130221-brickn679-300sec-6"
Duration Time,300
Ambient Temperature,"103.3"
Detector Temperature,"-38.5"
Valid Accumulated Counts,"375067"
Raw Accumulated Counts,"425882"
Valid Count Last Packet,"1238"
Raw Count Last Packet,"1401"
Live Time,286.803741
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,1023
Channel#,Intensity
0,"1"
1,"0"
2,"0"
3,"0"
4,"1"
5,"0"
6,"0"
7,"0"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"0"
21,"3"
22,"1"
23,"10"
24,"11"
25,"20"
26,"19"
27,"42"
28,"50"
29,"74"
30,"54"
31,"87"
32,"96"
33,"147"
34,"123"
35,"150"
36,"136"
37,"139"
38,"169"
39,"158"
40,"131"
41,"173"
42,"128"
43,"165"
44,"169"
45,"165"
46,"162"
47,"155"
48,"173"
49,"162"
50,"183"
51,"162"
52,"168"
53,"173"
54,"179"
55,"180"
56,"204"
57,"201"
58,"193"
59,"194"
60,"196"
61,"190"
62,"221"
63,"212"
64,"189"
65,"207"
66,"189"
67,"194"
68,"190"
69,"209"
70,"222"
71,"185"
72,"189"
73,"192"
74,"185"
75,"185"
76,"182"
77,"167"
78,"157"
79,"176"
80,"166"
81,"189"
82,"162"
83,"181"
84,"180"
85,"189"
86,"178"
87,"172"
88,"165"
89,"145"
90,"170"
91,"171"
92,"162"
93,"167"
94,"158"
95,"173"
96,"141"
97,"124"
98,"139"
99,"137"
100,"148"
101,"139"
102,"149"
103,"136"
104,"123"
105,"133"
106,"118"
107,"136"
108,"131"
109,"115"
110,"142"
111,"118"
112,"117"
113,"120"
114,"148"
115,"126"
116,"147"
117,"106"
118,"136"
119,"137"
120,"120"
121,"115"
122,"110"
123,"128"
124,"110"
125,"121"
126,"112"
127,"108"
128,"112"
129,"118"
130,"116"
131,"118"
132,"128"
133,"119"
134,"131"
135,"129"
136,"121"
137,"119"
138,"102"
139,"115"
140,"103"
141,"112"
142,"100"
143,"108"
144,"110"
145,"109"
146,"115"
147,"95"
148,"109"
149,"109"
150,"107"
151,"104"
152,"112"
153,"99"
154,"102"
155,"106"
156,"93"
157,"102"
158,"102"
159,"102"
160,"112"
161,"118"
162,"133"
163,"136"
164,"127"
165,"134"
166,"136"
167,"145"
168,"112"
169,"126"
170,"111"
171,"109"
172,"87"
173,"95"
174,"71"
175,"74"
176,"79"
177,"72"
178,"71"
179,"95"
180,"74"
181,"71"
182,"80"
183,"67"
184,"82"
185,"69"
186,"69"
187,"71"
188,"69"
189,"54"
190,"59"
191,"47"
192,"59"
193,"48"
194,"56"
195,"61"
196,"51"
197,"63"
198,"52"
199,"56"
200,"59"
201,"65"
202,"61"
203,"40"
204,"53"
205,"53"
206,"42"
207,"52"
208,"41"
209,"50"
210,"47"
211,"41"
212,"53"
213,"36"
214,"36"
215,"51"
216,"43"
217,"37"
218,"51"
219,"64"
220,"77"
221,"86"
222,"89"
223,"118"
224,"109"
225,"108"
226,"132"
227,"130"
228,"96"
229,"94"
230,"84"
231,"92"
232,"90"
233,"71"
234,"72"
235,"66"
236,"67"
237,"48"
238,"52"
239,"48"
240,"40"
241,"42"
242,"47"
243,"40"
244,"59"
245,"54"
246,"43"
247,"49"
248,"37"
249,"36"
250,"52"
251,"29"
252,"23"
253,"31"
254,"20"
255,"31"
256,"26"
257,"21"
258,"25"
259,"24"
260,"21"
261,"39"
262,"23"
263,"31"
264,"37"
265,"36"
266,"27"
267,"34"
268,"24"
269,"32"
270,"31"
271,"27"
272,"36"
273,"31"
274,"29"
275,"27"
276,"24"
277,"24"
278,"25"
279,"33"
280,"24"
