Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130213-brickn679-300sec-3"
Duration Time,300
Ambient Temperature,"82.4"
Detector Temperature,"-40.5"
Valid Accumulated Counts,"388773"
Raw Accumulated Counts,"441492"
Valid Count Last Packet,"1355"
Raw Count Last Packet,"1543"
Live Time,286.322876
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,774
Channel#,Intensity
0,"5"
1,"1"
2,"1"
3,"2"
4,"1"
5,"0"
6,"0"
7,"0"
8,"0"
9,"0"
10,"1"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"1"
18,"0"
19,"2"
20,"4"
21,"1"
22,"4"
23,"1"
24,"10"
25,"25"
26,"22"
27,"45"
28,"51"
29,"68"
30,"81"
31,"104"
32,"105"
33,"149"
34,"154"
35,"151"
36,"144"
37,"184"
38,"157"
39,"178"
40,"155"
41,"158"
42,"145"
43,"157"
44,"167"
45,"171"
46,"179"
47,"167"
48,"159"
49,"178"
50,"184"
51,"183"
52,"196"
53,"156"
54,"202"
55,"199"
56,"202"
57,"202"
58,"206"
59,"196"
60,"193"
61,"195"
62,"219"
63,"214"
64,"210"
65,"214"
66,"197"
67,"185"
68,"231"
69,"225"
70,"196"
71,"194"
72,"186"
73,"179"
74,"219"
75,"204"
76,"205"
77,"199"
78,"207"
79,"186"
80,"175"
81,"165"
82,"184"
83,"190"
84,"166"
85,"171"
86,"179"
87,"186"
88,"191"
89,"170"
90,"162"
91,"169"
92,"182"
93,"156"
94,"137"
95,"154"
96,"154"
97,"146"
98,"164"
99,"137"
100,"160"
101,"148"
102,"157"
103,"142"
104,"128"
105,"126"
106,"139"
107,"148"
108,"142"
109,"141"
110,"121"
111,"138"
112,"145"
113,"150"
114,"157"
115,"137"
116,"133"
117,"118"
118,"148"
119,"141"
120,"117"
121,"101"
122,"112"
123,"116"
124,"122"
125,"129"
126,"119"
127,"124"
128,"121"
129,"125"
130,"106"
131,"118"
132,"135"
133,"116"
134,"135"
135,"133"
136,"117"
137,"120"
138,"146"
139,"115"
140,"108"
141,"108"
142,"102"
143,"116"
144,"126"
145,"104"
146,"102"
147,"106"
148,"120"
149,"106"
150,"103"
151,"119"
152,"92"
153,"104"
154,"99"
155,"106"
156,"107"
157,"101"
158,"102"
159,"107"
160,"119"
161,"115"
162,"118"
163,"130"
164,"132"
165,"144"
166,"136"
167,"139"
168,"144"
169,"126"
170,"108"
171,"106"
172,"118"
173,"89"
174,"100"
175,"79"
176,"85"
177,"78"
178,"96"
179,"86"
180,"90"
181,"72"
182,"88"
183,"92"
184,"77"
185,"101"
186,"81"
187,"62"
188,"77"
189,"79"
190,"66"
191,"76"
192,"65"
193,"65"
194,"52"
195,"64"
196,"52"
197,"68"
198,"49"
199,"68"
200,"54"
201,"73"
202,"56"
203,"49"
204,"60"
205,"57"
206,"50"
207,"55"
208,"37"
209,"37"
210,"48"
211,"42"
212,"40"
213,"29"
214,"37"
215,"30"
216,"48"
217,"43"
218,"71"
219,"62"
220,"60"
221,"84"
222,"98"
223,"105"
224,"114"
225,"103"
226,"136"
227,"127"
228,"127"
229,"127"
230,"89"
231,"88"
232,"93"
233,"79"
234,"71"
235,"69"
236,"70"
237,"50"
238,"46"
239,"49"
240,"44"
241,"38"
242,"50"
243,"30"
244,"39"
245,"48"
246,"48"
247,"48"
248,"52"
249,"41"
250,"41"
251,"40"
252,"32"
253,"41"
254,"28"
255,"31"
256,"33"
257,"32"
258,"37"
259,"31"
260,"33"
261,"25"
262,"31"
263,"30"
264,"23"
265,"29"
266,"27"
267,"37"
268,"44"
269,"34"
270,"28"
271,"34"
272,"30"
273,"30"
274,"22"
275,"27"
276,"18"
277,"22"
278,"29"
279,"19"
280,"15"
281,"24"
282,"19"
283,"25"
284,"23"
285,"16"
286,"32"
287,"41"
288,"44"
289,"77"
290,"82"
291,"104"
292,"96"
293,"102"
294,"104"
295,"115"
296,"117"
297,"104"
298,"107"
299,"97"
300,"72"
301,"67"
302,"65"
303,"60"
304,"52"
305,"63"
306,"63"
307,"111"
308,"183"
309,"291"
310,"495"
311,"762"
312,"1291"
313,"1892"
314,"2650"
315,"3510"
316,"4651"
317,"5508"
318,"6466"
319,"6826"
320,"7095"
321,"7039"
322,"6495"
323,"5692"
324,"4816"
325,"3831"
326,"2988"
327,"2170"
328,"1554"
329,"1099"
330,"721"
331,"519"
332,"315"
333,"255"
334,"205"
335,"145"
336,"166"
337,"131"
338,"132"
339,"122"
340,"110"
341,"141"
342,"180"
343,"212"
344,"242"
345,"377"
346,"485"
347,"606"
348,"744"
349,"969"
350,"1134"
351,"1151"
352,"1210"
353,"1229"
354,"1235"
355,"1140"
356,"982"
357,"813"
358,"707"
359,"543"
360,"418"
361,"266"
362,"209"
363,"167"
364,"109"
365,"87"
366,"57"
367,"71"
368,"72"
369,"41"
370,"62"
371,"61"
372,"59"
373,"54"
374,"69"
375,"59"
376,"55"
377,"49"
378,"54"
379,"46"
380,"26"
381,"37"
382,"34"
383,"33"
384,"23"
385,"27"
386,"26"
387,"27"
388,"18"
389,"16"
390,"12"
391,"18"
392,"18"
393,"13"
394,"9"
395,"13"
396,"20"
397,"10"
398,"23"
399,"22"
400,"33"
401,"18"
402,"16"
403,"24"
404,"17"
405,"27"
406,"15"
407,"15"
408,"25"
409,"16"
410,"29"
411,"13"
412,"19"
413,"21"
414,"17"
415,"22"
416,"20"
417,"23"
418,"20"
419,"26"
420,"22"
421,"24"
422,"27"
423,"26"
424,"25"
425,"27"
426,"28"
427,"28"
428,"28"
429,"26"
430,"38"
431,"50"
432,"39"
433,"31"
434,"35"
435,"37"
436,"34"
437,"30"
438,"23"
439,"14"
440,"12"
441,"16"
442,"10"
443,"7"
444,"7"
445,"12"
446,"9"
447,"11"
448,"11"
449,"9"
450,"10"
451,"9"
452,"8"
453,"5"
454,"9"
455,"7"
456,"7"
457,"7"
458,"14"
459,"14"
460,"18"
461,"13"
462,"22"
463,"12"
464,"11"
465,"11"
466,"15"
467,"17"
468,"13"
469,"8"
470,"13"
471,"10"
472,"3"
473,"15"
474,"13"
475,"8"
476,"14"
477,"22"
478,"14"
479,"18"
480,"17"
481,"25"
482,"24"
483,"13"
484,"9"
485,"13"
486,"27"
487,"12"
488,"13"
489,"14"
490,"18"
491,"9"
492,"13"
493,"12"
494,"7"
495,"6"
496,"11"
497,"14"
498,"10"
499,"17"
500,"14"
501,"5"
502,"11"
503,"6"
504,"5"
505,"6"
506,"8"
507,"12"
508,"6"
509,"4"
510,"10"
511,"5"
512,"9"
513,"8"
514,"8"
515,"13"
516,"15"
517,"13"
518,"7"
519,"5"
520,"10"
521,"15"
522,"9"
523,"18"
524,"6"
525,"19"
526,"19"
527,"21"
528,"17"
529,"20"
530,"27"
531,"5"
532,"10"
533,"14"
534,"14"
535,"9"
536,"3"
537,"7"
538,"10"
539,"6"
540,"5"
541,"6"
542,"10"
543,"7"
544,"6"
545,"3"
546,"6"
547,"5"
548,"6"
549,"10"
550,"4"
551,"7"
552,"1"
553,"11"
554,"5"
555,"8"
556,"4"
557,"6"
558,"4"
559,"10"
560,"13"
561,"8"
562,"6"
563,"1"
564,"6"
565,"8"
566,"8"
567,"6"
568,"5"
569,"4"
570,"9"
571,"3"
572,"4"
573,"14"
574,"5"
575,"8"
576,"8"
577,"4"
578,"6"
579,"11"
580,"12"
581,"12"
582,"14"
583,"6"
584,"5"
585,"5"
586,"10"
587,"10"
588,"4"
589,"8"
590,"10"
591,"8"
592,"9"
593,"6"
594,"10"
595,"7"
596,"5"
597,"8"
598,"4"
599,"2"
600,"4"
601,"3"
602,"14"
603,"5"
604,"6"
605,"8"
606,"8"
607,"10"
608,"4"
609,"4"
610,"4"
611,"3"
612,"8"
613,"10"
614,"6"
615,"5"
616,"10"
617,"4"
618,"4"
619,"5"
620,"4"
621,"13"
622,"5"
623,"7"
624,"4"
625,"14"
626,"15"
627,"12"
628,"13"
629,"13"
630,"22"
631,"21"
632,"15"
633,"14"
634,"17"
635,"15"
636,"18"
637,"11"
638,"13"
639,"16"
640,"14"
641,"9"
642,"23"
643,"10"
644,"19"
645,"18"
646,"19"
647,"17"
648,"18"
649,"16"
650,"19"
651,"15"
652,"24"
653,"22"
654,"18"
655,"31"
656,"24"
657,"21"
658,"49"
659,"33"
660,"66"
661,"86"
662,"104"
663,"140"
664,"148"
665,"181"
666,"200"
667,"206"
668,"222"
669,"231"
670,"218"
671,"200"
672,"195"
673,"151"
674,"159"
675,"120"
676,"100"
677,"93"
678,"46"
679,"33"
680,"41"
681,"27"
682,"23"
683,"18"
684,"16"
685,"9"
686,"8"
687,"19"
688,"13"
689,"6"
690,"11"
691,"11"
692,"11"
693,"13"
694,"12"
695,"10"
696,"21"
697,"34"
698,"35"
699,"40"
700,"38"
701,"59"
702,"69"
703,"74"
704,"71"
705,"69"
706,"124"
707,"120"
708,"91"
709,"96"
710,"101"
711,"83"
712,"73"
713,"63"
714,"52"
715,"45"
716,"26"
717,"38"
718,"17"
719,"20"
720,"20"
721,"8"
722,"19"
723,"13"
724,"15"
725,"14"
726,"14"
727,"11"
728,"13"
729,"6"
730,"16"
731,"20"
732,"14"
733,"19"
734,"17"
735,"15"
736,"35"
737,"26"
738,"46"
739,"46"
740,"45"
741,"54"
742,"59"
743,"82"
744,"81"
745,"97"
746,"113"
747,"95"
748,"93"
749,"93"
750,"84"
751,"91"
752,"85"
753,"74"
754,"49"
755,"52"
756,"49"
757,"28"
758,"30"
759,"36"
760,"21"
761,"24"
762,"15"
763,"16"
764,"22"
765,"13"
766,"16"
767,"17"
768,"12"
769,"14"
770,"15"
771,"20"
772,"20"
773,"35"
774,"32"
775,"48"
776,"57"
777,"67"
778,"79"
779,"93"
780,"124"
781,"171"
782,"157"
783,"197"
784,"220"
785,"244"
786,"254"
787,"271"
788,"286"
789,"277"
790,"261"
791,"230"
792,"214"
793,"170"
794,"137"
795,"110"
796,"101"
797,"81"
798,"70"
799,"60"
800,"52"
801,"33"
802,"33"
803,"23"
804,"26"
805,"29"
806,"24"
807,"17"
808,"28"
809,"18"
810,"27"
811,"25"
812,"19"
813,"30"
814,"18"
815,"22"
816,"23"
817,"19"
818,"21"
819,"24"
820,"34"
821,"25"
822,"26"
823,"26"
824,"36"
825,"39"
826,"35"
827,"44"
828,"39"
829,"46"
830,"46"
831,"60"
832,"56"
833,"47"
834,"44"
835,"40"
836,"42"
837,"30"
838,"39"
839,"41"
840,"27"
841,"26"
842,"22"
843,"30"
844,"23"
845,"21"
846,"14"
847,"25"
848,"21"
849,"20"
850,"19"
851,"25"
852,"19"
853,"23"
854,"26"
855,"31"
856,"31"
857,"29"
858,"36"
859,"34"
860,"21"
861,"19"
862,"28"
863,"29"
864,"29"
865,"56"
866,"40"
867,"34"
868,"47"
869,"47"
870,"39"
871,"55"
872,"50"
873,"58"
874,"65"
875,"64"
876,"53"
877,"72"
878,"83"
879,"81"
880,"65"
881,"87"
882,"93"
883,"83"
884,"75"
885,"83"
886,"69"
887,"67"
888,"55"
889,"63"
890,"67"
891,"61"
892,"45"
893,"44"
894,"46"
895,"46"
896,"44"
897,"38"
898,"49"
899,"54"
900,"51"
901,"48"
902,"46"
903,"52"
904,"45"
905,"35"
906,"54"
907,"55"
908,"40"
909,"46"
910,"60"
911,"47"
912,"48"
913,"32"
914,"43"
915,"57"
916,"55"
917,"44"
918,"49"
919,"61"
920,"63"
921,"66"
922,"53"
923,"74"
924,"67"
925,"70"
926,"64"
927,"88"
928,"90"
929,"93"
930,"98"
931,"88"
932,"103"
933,"125"
934,"105"
935,"98"
936,"115"
937,"114"
938,"136"
939,"126"
940,"137"
941,"132"
942,"163"
943,"151"
944,"172"
945,"161"
946,"147"
947,"184"
948,"185"
949,"180"
950,"192"
951,"149"
952,"187"
953,"195"
954,"174"
955,"186"
956,"175"
957,"165"
958,"176"
959,"174"
960,"181"
961,"207"
962,"166"
963,"162"
964,"182"
965,"176"
966,"127"
967,"151"
968,"175"
969,"125"
970,"125"
971,"143"
972,"121"
973,"108"
974,"128"
975,"128"
976,"107"
977,"113"
978,"118"
979,"91"
980,"118"
981,"101"
982,"109"
983,"107"
984,"95"
985,"117"
986,"122"
987,"94"
988,"73"
989,"128"
990,"109"
991,"120"
992,"110"
993,"109"
994,"107"
995,"129"
996,"102"
997,"138"
998,"133"
999,"127"
1000,"155"
1001,"176"
1002,"175"
1003,"172"
1004,"183"
1005,"203"
1006,"217"
1007,"224"
1008,"214"
1009,"205"
1010,"210"
1011,"168"
1012,"183"
1013,"193"
1014,"183"
1015,"177"
1016,"186"
1017,"145"
1018,"132"
1019,"160"
1020,"154"
1021,"119"
1022,"126"
1023,"105"
1024,"123"
1025,"114"
1026,"114"
1027,"83"
1028,"114"
1029,"140"
1030,"95"
1031,"134"
1032,"127"
1033,"117"
1034,"115"
1035,"133"
1036,"129"
1037,"135"
1038,"123"
1039,"116"
1040,"147"
1041,"123"
1042,"134"
1043,"127"
1044,"147"
1045,"162"
1046,"149"
1047,"146"
1048,"125"
1049,"161"
1050,"136"
1051,"151"
1052,"150"
1053,"167"
1054,"160"
1055,"176"
1056,"194"
1057,"172"
1058,"200"
1059,"166"
1060,"189"
1061,"202"
1062,"174"
1063,"189"
1064,"197"
1065,"197"
1066,"190"
1067,"183"
1068,"212"
1069,"207"
1070,"221"
1071,"205"
1072,"203"
1073,"201"
1074,"184"
1075,"176"
1076,"171"
1077,"197"
1078,"194"
1079,"166"
1080,"181"
1081,"206"
1082,"195"
1083,"200"
1084,"187"
1085,"160"
1086,"209"
1087,"209"
1088,"170"
1089,"162"
1090,"158"
1091,"192"
1092,"165"
1093,"167"
1094,"171"
1095,"169"
1096,"192"
1097,"139"
1098,"173"
1099,"156"
1100,"170"
1101,"173"
1102,"205"
1103,"176"
1104,"169"
1105,"181"
1106,"187"
1107,"182"
1108,"169"
1109,"171"
1110,"195"
1111,"195"
1112,"169"
1113,"156"
1114,"158"
1115,"182"
1116,"198"
1117,"172"
1118,"173"
1119,"165"
1120,"199"
1121,"188"
1122,"184"
1123,"202"
1124,"190"
1125,"174"
1126,"187"
1127,"184"
1128,"179"
1129,"210"
1130,"207"
1131,"210"
1132,"240"
1133,"258"
1134,"215"
1135,"229"
1136,"236"
1137,"232"
1138,"277"
1139,"249"
1140,"227"
1141,"214"
1142,"226"
1143,"213"
1144,"201"
1145,"208"
1146,"200"
1147,"211"
1148,"189"
1149,"175"
1150,"207"
1151,"189"
1152,"205"
1153,"196"
1154,"196"
1155,"189"
1156,"208"
1157,"217"
1158,"213"
1159,"189"
1160,"217"
1161,"180"
1162,"177"
1163,"208"
1164,"198"
1165,"186"
1166,"212"
1167,"184"
1168,"215"
1169,"195"
1170,"202"
1171,"198"
1172,"180"
1173,"205"
1174,"217"
1175,"210"
1176,"181"
1177,"210"
1178,"193"
1179,"220"
1180,"205"
1181,"180"
1182,"201"
1183,"205"
1184,"195"
1185,"203"
1186,"221"
1187,"202"
1188,"217"
1189,"207"
1190,"199"
1191,"212"
1192,"226"
1193,"208"
1194,"236"
1195,"233"
1196,"211"
1197,"226"
1198,"260"
1199,"206"
1200,"214"
1201,"229"
1202,"210"
1203,"215"
1204,"221"
1205,"225"
1206,"225"
1207,"226"
1208,"247"
1209,"212"
1210,"218"
1211,"225"
1212,"263"
1213,"247"
1214,"240"
1215,"227"
1216,"231"
1217,"234"
1218,"249"
1219,"234"
1220,"241"
1221,"220"
1222,"220"
1223,"261"
1224,"240"
1225,"261"
1226,"261"
1227,"264"
1228,"263"
1229,"240"
1230,"259"
1231,"260"
1232,"246"
1233,"237"
1234,"267"
1235,"265"
1236,"245"
1237,"253"
1238,"238"
1239,"240"
1240,"277"
1241,"266"
1242,"266"
1243,"260"
1244,"263"
1245,"295"
1246,"272"
1247,"304"
1248,"278"
1249,"288"
1250,"292"
1251,"299"
1252,"296"
1253,"287"
1254,"277"
1255,"316"
1256,"336"
1257,"305"
1258,"320"
1259,"312"
1260,"300"
1261,"310"
1262,"343"
1263,"288"
1264,"340"
1265,"330"
1266,"319"
1267,"324"
1268,"299"
1269,"305"
1270,"280"
1271,"306"
1272,"281"
1273,"301"
1274,"273"
1275,"300"
1276,"281"
1277,"277"
1278,"322"
1279,"296"
1280,"280"
1281,"325"
1282,"270"
1283,"288"
1284,"291"
1285,"326"
1286,"306"
1287,"302"
1288,"291"
1289,"322"
1290,"281"
1291,"301"
1292,"296"
1293,"313"
1294,"306"
1295,"272"
1296,"312"
1297,"278"
1298,"311"
1299,"335"
1300,"303"
1301,"334"
1302,"330"
1303,"298"
1304,"317"
1305,"334"
1306,"319"
1307,"297"
1308,"281"
1309,"313"
1310,"311"
1311,"337"
1312,"352"
1313,"300"
1314,"313"
1315,"322"
1316,"349"
1317,"305"
1318,"336"
1319,"326"
1320,"324"
1321,"301"
1322,"330"
1323,"299"
1324,"340"
1325,"319"
1326,"334"
1327,"299"
1328,"327"
1329,"372"
1330,"328"
1331,"347"
1332,"335"
1333,"327"
1334,"299"
1335,"363"
1336,"345"
1337,"316"
1338,"398"
1339,"327"
1340,"333"
1341,"332"
1342,"338"
1343,"347"
1344,"362"
1345,"328"
1346,"343"
1347,"327"
1348,"349"
1349,"335"
1350,"302"
1351,"321"
1352,"358"
1353,"358"
1354,"347"
1355,"348"
1356,"343"
1357,"345"
1358,"359"
1359,"353"
1360,"338"
1361,"325"
1362,"320"
1363,"347"
1364,"368"
1365,"366"
1366,"337"
1367,"391"
1368,"344"
1369,"357"
1370,"356"
1371,"373"
1372,"335"
1373,"350"
1374,"352"
1375,"383"
1376,"339"
1377,"392"
1378,"362"
1379,"384"
1380,"396"
1381,"387"
1382,"352"
1383,"349"
1384,"365"
1385,"367"
1386,"358"
1387,"354"
1388,"352"
1389,"388"
1390,"354"
1391,"342"
1392,"371"
1393,"374"
1394,"349"
1395,"397"
1396,"362"
1397,"363"
1398,"385"
1399,"342"
1400,"366"
1401,"351"
1402,"349"
1403,"354"
1404,"369"
1405,"365"
1406,"408"
1407,"368"
1408,"354"
1409,"406"
1410,"361"
1411,"391"
1412,"360"
1413,"391"
1414,"395"
1415,"381"
1416,"351"
1417,"359"
1418,"378"
1419,"362"
1420,"420"
1421,"362"
1422,"373"
1423,"380"
1424,"352"
1425,"412"
1426,"369"
1427,"411"
1428,"383"
1429,"385"
1430,"406"
1431,"405"
1432,"385"
1433,"359"
1434,"357"
1435,"370"
1436,"392"
1437,"397"
1438,"365"
1439,"373"
1440,"386"
1441,"370"
1442,"383"
1443,"394"
1444,"370"
1445,"390"
1446,"354"
1447,"387"
1448,"380"
1449,"393"
1450,"363"
1451,"384"
1452,"381"
1453,"414"
1454,"378"
1455,"332"
1456,"387"
1457,"378"
1458,"402"
1459,"405"
1460,"402"
1461,"377"
1462,"401"
1463,"361"
1464,"375"
1465,"381"
1466,"386"
1467,"366"
1468,"359"
1469,"353"
1470,"387"
1471,"392"
1472,"360"
1473,"383"
1474,"409"
1475,"379"
1476,"336"
1477,"409"
1478,"378"
1479,"417"
1480,"388"
1481,"389"
1482,"351"
1483,"340"
1484,"396"
1485,"366"
1486,"374"
1487,"371"
1488,"379"
1489,"370"
1490,"383"
1491,"407"
1492,"398"
1493,"379"
1494,"411"
1495,"398"
1496,"382"
1497,"415"
1498,"410"
1499,"420"
1500,"391"
1501,"376"
1502,"384"
1503,"345"
1504,"399"
1505,"374"
1506,"429"
1507,"387"
1508,"400"
1509,"388"
1510,"361"
1511,"381"
1512,"389"
1513,"382"
1514,"349"
1515,"402"
1516,"351"
1517,"359"
1518,"412"
1519,"367"
1520,"399"
1521,"353"
1522,"361"
1523,"402"
1524,"383"
1525,"384"
1526,"341"
1527,"416"
1528,"354"
1529,"368"
1530,"375"
1531,"374"
1532,"379"
1533,"380"
1534,"371"
1535,"358"
1536,"383"
1537,"367"
1538,"401"
1539,"393"
1540,"383"
1541,"403"
1542,"378"
1543,"403"
1544,"377"
1545,"381"
1546,"375"
1547,"371"
1548,"368"
1549,"359"
1550,"375"
1551,"365"
1552,"374"
1553,"407"
1554,"418"
1555,"372"
1556,"368"
1557,"361"
1558,"381"
1559,"349"
1560,"333"
1561,"366"
1562,"390"
1563,"356"
1564,"352"
1565,"357"
1566,"383"
1567,"393"
1568,"378"
1569,"375"
1570,"399"
1571,"365"
1572,"395"
1573,"344"
1574,"353"
1575,"385"
1576,"374"
1577,"384"
1578,"380"
1579,"376"
1580,"398"
1581,"385"
1582,"397"
1583,"361"
1584,"344"
1585,"378"
1586,"381"
1587,"409"
1588,"405"
1589,"327"
1590,"364"
1591,"335"
1592,"341"
1593,"391"
1594,"362"
1595,"372"
1596,"379"
1597,"361"
1598,"323"
1599,"359"
1600,"378"
1601,"349"
1602,"365"
1603,"368"
1604,"374"
1605,"343"
1606,"375"
1607,"382"
1608,"340"
1609,"381"
1610,"382"
1611,"374"
1612,"375"
1613,"328"
1614,"337"
1615,"330"
1616,"323"
1617,"339"
1618,"334"
1619,"349"
1620,"340"
1621,"354"
1622,"303"
1623,"362"
1624,"317"
1625,"363"
1626,"322"
1627,"335"
1628,"329"
1629,"348"
1630,"339"
1631,"294"
1632,"346"
1633,"327"
1634,"311"
1635,"333"
1636,"304"
1637,"319"
1638,"347"
1639,"354"
1640,"323"
1641,"325"
1642,"291"
1643,"332"
1644,"315"
1645,"323"
1646,"284"
1647,"283"
1648,"319"
1649,"314"
1650,"310"
1651,"326"
1652,"275"
