Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130226-KKH2.04-300sec-3"
Duration Time,300
Ambient Temperature,"90.6"
Detector Temperature,"-40.5"
Valid Accumulated Counts,"634239"
Raw Accumulated Counts,"708581"
Valid Count Last Packet,"2082"
Raw Count Last Packet,"2319"
Live Time,278.039856
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,772
Channel#,Intensity
0,"1"
1,"0"
2,"0"
3,"0"
4,"0"
5,"1"
6,"0"
7,"2"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"1"
16,"0"
17,"0"
18,"1"
19,"2"
20,"2"
21,"1"
22,"4"
23,"3"
24,"6"
25,"17"
26,"10"
27,"36"
28,"46"
29,"43"
30,"50"
31,"66"
32,"74"
33,"99"
34,"81"
35,"100"
36,"84"
37,"108"
38,"114"
39,"113"
40,"108"
41,"104"
42,"135"
43,"118"
44,"131"
45,"125"
46,"123"
47,"124"
48,"114"
49,"138"
50,"125"
51,"133"
52,"146"
53,"157"
54,"141"
55,"139"
56,"158"
57,"167"
58,"158"
59,"155"
60,"169"
61,"166"
62,"167"
63,"148"
64,"148"
65,"157"
66,"145"
67,"146"
68,"156"
69,"144"
70,"126"
71,"165"
72,"156"
73,"154"
74,"172"
75,"165"
76,"147"
77,"129"
78,"173"
79,"134"
80,"141"
81,"144"
82,"136"
83,"136"
84,"148"
85,"139"
86,"150"
87,"114"
88,"125"
89,"135"
90,"121"
91,"112"
92,"139"
93,"133"
94,"123"
95,"118"
96,"131"
97,"102"
98,"104"
99,"110"
100,"116"
101,"117"
102,"107"
103,"114"
104,"129"
105,"110"
106,"76"
107,"86"
108,"92"
109,"89"
110,"109"
111,"102"
112,"80"
113,"103"
114,"94"
115,"102"
116,"99"
117,"97"
118,"104"
119,"83"
120,"89"
121,"102"
122,"92"
123,"100"
124,"87"
125,"85"
126,"103"
127,"97"
128,"93"
129,"107"
130,"90"
131,"88"
132,"93"
133,"84"
134,"84"
135,"91"
136,"90"
137,"83"
138,"83"
139,"86"
140,"84"
141,"66"
142,"80"
143,"88"
144,"69"
145,"107"
146,"90"
147,"95"
148,"73"
149,"82"
150,"82"
151,"71"
152,"80"
153,"76"
154,"81"
155,"88"
156,"77"
157,"64"
158,"70"
159,"86"
160,"103"
161,"94"
162,"110"
163,"135"
164,"169"
165,"155"
166,"130"
167,"153"
168,"131"
169,"132"
170,"129"
171,"99"
172,"84"
173,"96"
174,"85"
175,"96"
176,"74"
177,"88"
178,"89"
179,"104"
180,"121"
181,"126"
182,"152"
183,"159"
184,"150"
185,"143"
186,"150"
187,"126"
188,"131"
189,"89"
190,"87"
191,"92"
192,"69"
193,"64"
194,"77"
195,"78"
196,"76"
197,"71"
198,"75"
199,"92"
200,"84"
201,"101"
202,"72"
203,"72"
204,"74"
205,"68"
206,"61"
207,"50"
208,"62"
209,"49"
210,"53"
211,"44"
212,"46"
213,"46"
214,"59"
215,"41"
216,"63"
217,"70"
218,"56"
219,"64"
220,"72"
221,"91"
222,"91"
223,"121"
224,"119"
225,"125"
226,"120"
227,"155"
228,"138"
229,"161"
230,"181"
231,"150"
232,"178"
233,"176"
234,"178"
235,"163"
236,"138"
237,"120"
238,"112"
239,"95"
240,"89"
241,"72"
242,"67"
243,"69"
244,"54"
245,"73"
246,"82"
247,"78"
248,"68"
249,"76"
250,"56"
251,"65"
252,"61"
253,"47"
254,"50"
255,"59"
256,"44"
257,"52"
258,"48"
259,"49"
260,"53"
261,"57"
262,"62"
263,"46"
264,"56"
265,"62"
266,"66"
267,"69"
268,"71"
269,"64"
270,"73"
271,"70"
272,"56"
273,"56"
274,"58"
275,"53"
276,"44"
277,"63"
278,"46"
279,"49"
280,"53"
281,"61"
282,"52"
283,"49"
284,"47"
285,"50"
286,"47"
287,"46"
288,"45"
289,"57"
290,"75"
291,"81"
292,"56"
293,"70"
294,"77"
295,"71"
296,"78"
297,"80"
298,"101"
299,"73"
300,"95"
301,"106"
302,"140"
303,"141"
304,"152"
305,"217"
306,"292"
307,"497"
308,"816"
309,"1381"
310,"2254"
311,"3656"
312,"5640"
313,"8532"
314,"12222"
315,"16249"
316,"20990"
317,"25765"
318,"29544"
319,"32268"
320,"33001"
321,"32449"
322,"30082"
323,"26315"
324,"22280"
325,"17594"
326,"13597"
327,"9877"
328,"6998"
329,"4897"
330,"3279"
331,"2150"
332,"1475"
333,"1111"
334,"881"
335,"665"
336,"552"
337,"501"
338,"484"
339,"498"
340,"589"
341,"610"
342,"772"
343,"930"
344,"1214"
345,"1635"
346,"2281"
347,"2797"
348,"3606"
349,"4453"
350,"4982"
351,"5491"
352,"5888"
353,"5961"
354,"5944"
355,"5354"
356,"4569"
357,"3840"
358,"3125"
359,"2384"
360,"1795"
361,"1195"
362,"839"
363,"618"
364,"380"
365,"302"
366,"203"
367,"150"
368,"128"
369,"104"
370,"101"
371,"107"
372,"82"
373,"97"
374,"92"
375,"91"
376,"83"
377,"62"
378,"75"
379,"68"
380,"72"
381,"81"
382,"74"
383,"69"
384,"69"
385,"63"
386,"57"
387,"55"
388,"54"
389,"48"
390,"55"
391,"39"
392,"32"
393,"35"
394,"27"
395,"33"
396,"28"
397,"24"
398,"15"
399,"26"
400,"36"
401,"28"
402,"27"
403,"25"
404,"22"
405,"25"
406,"17"
407,"21"
408,"20"
409,"24"
410,"10"
411,"21"
412,"15"
413,"19"
414,"16"
415,"12"
416,"26"
417,"15"
418,"14"
419,"18"
420,"12"
421,"21"
422,"19"
423,"21"
424,"20"
425,"20"
426,"32"
427,"34"
428,"24"
429,"45"
430,"30"
431,"43"
432,"35"
433,"44"
434,"38"
435,"36"
436,"19"
437,"28"
438,"16"
439,"17"
440,"14"
441,"17"
442,"18"
443,"8"
444,"11"
445,"12"
446,"3"
447,"5"
448,"12"
449,"11"
450,"9"
451,"6"
452,"13"
453,"10"
454,"6"
455,"7"
456,"11"
457,"17"
458,"10"
459,"15"
460,"11"
461,"18"
462,"11"
463,"16"
464,"15"
465,"11"
466,"14"
467,"13"
468,"13"
469,"6"
470,"12"
471,"8"
472,"13"
473,"12"
474,"14"
475,"13"
476,"11"
477,"18"
478,"17"
479,"23"
480,"12"
481,"14"
482,"16"
483,"14"
484,"22"
485,"20"
486,"19"
487,"20"
488,"16"
489,"13"
490,"16"
491,"15"
492,"10"
493,"7"
494,"16"
495,"8"
496,"5"
497,"10"
498,"9"
499,"11"
500,"7"
501,"9"
502,"8"
503,"9"
504,"9"
505,"9"
506,"6"
507,"8"
508,"14"
509,"11"
510,"5"
511,"4"
512,"9"
513,"8"
514,"10"
515,"7"
516,"8"
517,"8"
518,"10"
519,"13"
520,"13"
521,"10"
522,"19"
523,"24"
524,"23"
525,"20"
526,"26"
527,"20"
528,"22"
529,"25"
530,"26"
531,"20"
532,"17"
533,"19"
534,"20"
535,"13"
536,"8"
537,"8"
538,"8"
539,"3"
540,"11"
541,"3"
542,"10"
543,"4"
544,"9"
545,"3"
546,"6"
547,"5"
548,"3"
549,"2"
550,"7"
551,"5"
552,"2"
553,"8"
554,"7"
555,"3"
556,"5"
557,"8"
558,"8"
559,"8"
560,"7"
561,"7"
562,"9"
563,"7"
564,"6"
565,"11"
566,"5"
567,"5"
568,"3"
569,"4"
570,"3"
571,"8"
572,"4"
573,"9"
574,"5"
575,"4"
576,"7"
577,"6"
578,"8"
579,"7"
580,"12"
581,"5"
582,"3"
583,"12"
584,"16"
585,"11"
586,"10"
587,"10"
588,"11"
589,"11"
590,"9"
591,"15"
592,"11"
593,"14"
594,"13"
595,"13"
596,"14"
597,"5"
598,"13"
599,"5"
600,"12"
601,"8"
602,"9"
603,"5"
604,"10"
605,"15"
