"","Sample Code","Location","square","layer and bag","mass (g)","length (mm)","width (mm)","thickness (mm)","Low freq. mass specific susceptibility (SI units)","Freq. dependency (%)","Fe (oxide % mass)","Ti (oxide % mass)","Co (oxide % mass)"
"51","PL8.05","Location 3 (PL8)","2","46b",0.4,14.5,9.6,3.6,237.5,0,27.4174,2.0407,0.0008
"52","PL8.06","Location 3 (PL8)","2","48a",2.4,22.5,8.5,7,152.08,-4.11,13.6405,1.2976,0.0015
"53","PL8.07","Location 3 (PL8)","2","24a",4.3,28.3,16.6,10.3,25239.53,0.76,38.3109,1.5741,0.0006
"54","PL8.08","Location 3 (PL8)","2","28c",0.8,13.7,12,6.1,175,17.86,18.4387,1.8367,0.0012
"55","PL8.09","Location 3 (PL8)","2","24d",6,24.4,15.9,12.1,275.83,-1.21,35.0034,2.8211,0.0006
"56","PL8.10","Location 3 (PL8)","2","22a",1.1,14.8,7.9,6.7,145.45,28.12,9.9324,1.282,0.0023
"57","PL8.11","Location 3 (PL8)","1","21b",0.6,11.6,8.2,6.7,-25,233.33,34.418,1.1622,0.0007
"58","PL8.12","Location 3 (PL8)","2","20a",0.8,15.9,9.1,4.6,25,-125,8.7469,0.6271,0.0028
"59","PL8.13","Location 3 (PL8)","2","30d",4.1,23.7,11.7,8.6,232.93,-8.38,17.2697,2.9955,0.0013
"60","PL8.14","Location 3 (PL8)","2","32a",3.2,17.3,13.9,10,259.38,-2.41,39.2781,1.5725,0.0006
"61","PL8.15","Location 3 (PL8)","2","32a",0.9,13.9,11.9,4.2,55.56,-20,40.6974,1.0897,0.0005
"62","PL8.16","Location 3 (PL8)","2","32b",1.8,18,12.1,9.1,727.78,9.92,41.3544,1.524,0.0005
"63","PL8.17","Location 3 (PL8)","1","31a",2.7,26.9,25.2,3.6,13375.93,4.47,1.4462,0.8489,0.0239
"64","PL8.18","Location 3 (PL8)","1","37b",3.1,18.2,11.4,9.4,282.26,0,2.4262,0.0847,0.0101
"65","VR3.01","Location 2 (VR3)","III-17","905",1,13.7,11.5,6.4,80,-18.75,38.4431,1.5256,0.0006
"66","VR3.02","Location 2 (VR3)","III-16","818",2.2,24.1,13.6,4.9,638.64,0.71,7.2379,0.7965,0.5934
"67","VR3.03","Location 2 (VR3)","III-20","959",4.4,37.4,11,5.3,155.68,-1.46,27.9659,1.1455,0.0008
"68","VR3.04","Location 2 (VR3)","III-20","977",8.3,44.4,26.7,7.5,254.22,4.98,2.9925,0.6182,0.0086
"69","VR3.05","Location 2 (VR3)","III-20","977",2.4,17.5,12.3,8.1,24677.08,1.33,35.6876,2.3896,0.0006
"70","VR3.06","Location 2 (VR3)","III-20","977",8.6,34.6,12,12,2995.35,0.16,28.8445,2.0658,0.0008
"71","VR3.07","Location 2 (VR3)","III-20","977",0.9,13,10.3,7.5,183.33,-15.15,27.2849,1.6655,0.0008
"72","VR3.08","Location 2 (VR3)","III-20","977",1,21.1,19.8,2.4,410,-7.32,2.9714,0.1393,0.0091
"73","VR3.09","Location 2 (VR3)","III-20","938",1.6,16.5,12.6,9.8,87.5,-35.71,9.6363,1.073,0.0023
"74","VR3.10","Location 2 (VR3)","III-20","938",4,22.2,12.9,10.3,82042.5,0.07,3.1474,0.1126,0.0077
"75","VR3.11","Location 2 (VR3)","III-20","939",4,20.9,15.6,8.2,151.25,-11.57,42.8641,1.8071,0.0005
"76","VR3.12","Location 2 (VR3)","III-20","931",1.2,17.3,14.7,4.6,70.83,-17.65,28.602,2.5284,0.0008
"77","VR3.13","Location 2 (VR3)","III-20","931",1,16.6,9.9,7.1,-65,-38.46,0.4203,0.1259,0.1569
