Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130201-brickn679-300sec-1"
Duration Time,300
Ambient Temperature,"90.6"
Detector Temperature,"-40.5"
Valid Accumulated Counts,"393980"
Raw Accumulated Counts,"448375"
Valid Count Last Packet,"1311"
Raw Count Last Packet,"1483"
Live Time,286.120911
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,775
Channel#,Intensity
0,"1"
1,"0"
2,"0"
3,"0"
4,"0"
5,"1"
6,"1"
7,"0"
8,"1"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"1"
19,"1"
20,"1"
21,"2"
22,"8"
23,"5"
24,"14"
25,"12"
26,"21"
27,"32"
28,"45"
29,"65"
30,"80"
31,"102"
32,"121"
33,"137"
34,"161"
35,"129"
36,"157"
37,"138"
38,"163"
39,"177"
40,"176"
41,"167"
42,"200"
43,"171"
44,"176"
45,"196"
46,"177"
47,"186"
48,"186"
49,"168"
50,"204"
51,"193"
52,"191"
53,"174"
54,"206"
55,"232"
56,"203"
57,"244"
58,"231"
59,"200"
60,"211"
61,"223"
62,"215"
63,"209"
64,"218"
65,"236"
66,"190"
67,"194"
68,"213"
69,"204"
70,"207"
71,"231"
72,"210"
73,"211"
74,"205"
75,"161"
76,"189"
77,"190"
78,"174"
79,"189"
80,"193"
81,"167"
82,"157"
83,"151"
84,"181"
85,"182"
86,"177"
87,"173"
88,"169"
89,"175"
90,"161"
91,"179"
92,"168"
93,"174"
94,"161"
95,"160"
96,"153"
97,"158"
98,"159"
99,"149"
100,"163"
101,"162"
102,"138"
103,"140"
104,"152"
105,"145"
106,"130"
107,"146"
108,"139"
109,"161"
110,"155"
111,"134"
112,"128"
113,"160"
114,"179"
115,"131"
116,"126"
117,"132"
118,"135"
119,"130"
120,"108"
121,"139"
122,"133"
123,"120"
124,"113"
125,"124"
126,"120"
127,"130"
128,"113"
129,"121"
130,"111"
131,"116"
132,"135"
133,"108"
134,"107"
135,"151"
136,"119"
137,"131"
138,"119"
139,"131"
140,"109"
141,"116"
142,"119"
143,"111"
144,"104"
145,"97"
146,"134"
147,"114"
148,"106"
149,"113"
150,"104"
151,"114"
152,"98"
153,"118"
154,"114"
155,"106"
156,"99"
157,"100"
158,"119"
159,"112"
160,"122"
161,"105"
162,"138"
163,"144"
164,"143"
165,"135"
166,"134"
167,"146"
168,"130"
169,"127"
170,"127"
171,"101"
172,"95"
173,"101"
174,"93"
175,"88"
176,"87"
177,"72"
178,"100"
179,"77"
180,"89"
181,"77"
182,"77"
183,"98"
184,"94"
185,"85"
186,"82"
187,"52"
188,"81"
189,"79"
190,"76"
191,"57"
192,"50"
193,"56"
194,"55"
195,"77"
196,"75"
197,"60"
198,"66"
199,"53"
200,"58"
201,"53"
202,"60"
203,"58"
204,"55"
205,"44"
206,"59"
207,"49"
208,"60"
209,"48"
210,"52"
211,"45"
212,"46"
213,"44"
214,"45"
215,"43"
216,"45"
217,"53"
218,"64"
219,"67"
220,"72"
221,"86"
222,"84"
223,"131"
224,"113"
225,"122"
226,"131"
227,"117"
228,"108"
229,"116"
230,"106"
231,"94"
232,"98"
233,"91"
234,"66"
235,"55"
236,"63"
237,"51"
238,"47"
239,"58"
240,"42"
241,"32"
242,"41"
243,"48"
244,"56"
245,"42"
246,"38"
247,"47"
248,"54"
249,"50"
250,"39"
251,"47"
252,"39"
253,"44"
254,"36"
255,"25"
256,"22"
257,"35"
258,"24"
259,"30"
260,"24"
261,"20"
262,"25"
263,"31"
264,"30"
265,"21"
266,"30"
267,"39"
268,"25"
269,"22"
270,"23"
271,"35"
272,"28"
273,"28"
274,"28"
275,"28"
276,"21"
277,"21"
278,"25"
279,"27"
280,"19"
281,"14"
282,"27"
283,"13"
284,"26"
285,"26"
286,"36"
287,"43"
288,"55"
289,"45"
290,"74"
291,"83"
292,"90"
293,"88"
294,"114"
295,"126"
296,"100"
297,"86"
298,"98"
299,"100"
300,"72"
301,"62"
302,"52"
303,"56"
304,"48"
305,"61"
306,"72"
307,"128"
308,"182"
309,"326"
310,"507"
311,"770"
312,"1276"
313,"1871"
314,"2688"
315,"3645"
316,"4516"
317,"5378"
318,"6392"
319,"6921"
320,"7090"
321,"6869"
322,"6382"
323,"5575"
324,"4805"
325,"3846"
326,"3030"
327,"2266"
328,"1520"
329,"1071"
330,"744"
331,"538"
332,"364"
333,"264"
334,"184"
335,"156"
336,"135"
337,"129"
338,"130"
339,"129"
340,"143"
341,"160"
342,"164"
343,"226"
344,"308"
345,"367"
346,"488"
347,"577"
348,"772"
349,"950"
350,"1100"
351,"1206"
352,"1285"
353,"1277"
354,"1284"
355,"1162"
356,"995"
357,"892"
358,"665"
359,"494"
360,"382"
361,"267"
362,"183"
363,"141"
364,"115"
365,"77"
366,"58"
367,"48"
368,"42"
369,"64"
370,"62"
371,"71"
372,"53"
373,"73"
374,"61"
375,"64"
376,"83"
377,"57"
378,"59"
379,"45"
380,"35"
381,"35"
382,"34"
383,"32"
384,"18"
385,"22"
386,"26"
387,"18"
388,"29"
389,"15"
390,"20"
391,"28"
392,"8"
393,"14"
394,"13"
395,"21"
396,"17"
397,"18"
398,"26"
399,"21"
400,"19"
401,"21"
402,"25"
403,"27"
404,"25"
405,"21"
406,"26"
407,"17"
408,"16"
409,"24"
410,"20"
411,"30"
412,"18"
413,"18"
414,"15"
415,"16"
416,"30"
417,"27"
418,"30"
419,"25"
420,"29"
421,"18"
422,"19"
423,"15"
424,"32"
425,"32"
426,"24"
427,"27"
428,"27"
429,"35"
430,"37"
431,"33"
432,"51"
433,"46"
434,"30"
435,"32"
436,"18"
437,"32"
438,"23"
439,"14"
440,"10"
441,"16"
442,"16"
443,"14"
444,"10"
445,"9"
446,"17"
447,"10"
448,"17"
449,"4"
450,"5"
451,"7"
452,"12"
453,"5"
454,"8"
455,"11"
456,"9"
457,"7"
458,"20"
459,"13"
460,"13"
461,"14"
462,"11"
463,"9"
464,"23"
465,"15"
466,"17"
467,"11"
468,"8"
469,"13"
470,"13"
471,"15"
472,"9"
473,"13"
474,"12"
475,"14"
476,"14"
477,"20"
478,"15"
479,"24"
480,"16"
481,"19"
482,"26"
483,"14"
484,"20"
485,"31"
486,"20"
487,"12"
488,"18"
489,"22"
490,"18"
491,"15"
492,"11"
493,"13"
494,"13"
495,"7"
496,"19"
497,"7"
498,"11"
499,"8"
500,"8"
501,"9"
502,"8"
503,"5"
504,"9"
505,"5"
506,"5"
507,"11"
508,"5"
509,"6"
510,"11"
511,"7"
512,"8"
513,"6"
514,"8"
515,"9"
516,"10"
517,"8"
518,"8"
519,"9"
520,"10"
521,"6"
522,"18"
523,"11"
524,"9"
525,"13"
526,"18"
527,"20"
528,"16"
529,"14"
530,"15"
531,"17"
532,"12"
533,"6"
534,"10"
535,"12"
536,"10"
537,"9"
538,"10"
539,"5"
540,"6"
541,"11"
542,"5"
543,"8"
544,"8"
545,"8"
546,"9"
547,"3"
548,"5"
549,"6"
550,"7"
551,"3"
552,"7"
553,"8"
554,"4"
555,"6"
556,"9"
557,"6"
558,"11"
559,"12"
560,"8"
561,"3"
562,"5"
563,"8"
564,"5"
565,"11"
566,"4"
567,"10"
568,"7"
569,"7"
570,"5"
571,"9"
572,"5"
573,"4"
574,"10"
575,"4"
576,"5"
577,"6"
578,"7"
579,"9"
580,"2"
581,"9"
582,"4"
583,"6"
584,"10"
585,"1"
586,"10"
587,"16"
588,"5"
589,"6"
590,"6"
591,"7"
592,"11"
593,"12"
594,"4"
595,"8"
596,"7"
597,"8"
598,"10"
599,"8"
600,"5"
601,"6"
602,"6"
603,"10"
604,"8"
605,"9"
606,"11"
607,"10"
608,"6"
609,"8"
610,"8"
