Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,98b-1-B
Duration Time,120
Ambient Temperature,90.5
Detector Temperature,-40.5
Valid Accumulated Counts,169856
Raw Accumulated Counts,210901
Valid Count Last Packet,1521
Raw Count Last Packet,1924
Live Time,113.703941
HV DAC,159
HV ADC,40
Filament DAC,181
Filament ADC,27.9
Pulse Length,201
Pulse Period,254
Filter,1
eV per channel,20
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,194
1,186
2,157
3,120
4,90
5,50
6,43
7,28
8,12
9,14
10,5
11,2
12,1
13,0
14,1
15,0
16,1
17,2
18,0
19,2
20,3
21,1
22,3
23,4
24,1
25,5
26,11
27,18
28,34
29,31
30,42
31,56
32,53
33,66
34,79
35,81
36,70
37,76
38,97
39,94
40,75
41,77
42,82
43,92
44,83
45,75
46,81
47,87
48,91
49,96
50,102
51,91
52,89
53,116
54,91
55,93
56,111
57,113
58,86
59,117
60,117
61,118
62,117
63,108
64,108
65,106
66,127
67,123
68,121
69,118
70,98
71,95
72,108
73,116
74,94
75,125
76,109
77,104
78,108
79,104
80,91
81,91
82,104
83,107
84,112
85,81
86,96
87,98
88,107
89,95
90,74
91,109
92,90
93,84
94,82
95,81
96,78
97,82
98,87
99,97
100,83
101,91
102,73
103,85
104,77
105,69
106,72
107,74
108,70
109,72
110,64
111,72
112,84
113,77
114,68
115,78
116,75
117,72
118,71
119,65
120,69
121,76
122,59
123,65
124,67
125,58
126,65
127,70
128,72
129,48
130,60
131,56
132,75
133,62
134,41
135,44
136,63
137,75
138,58
139,60
140,58
141,54
142,64
143,55
144,56
145,58
146,54
147,49
148,44
149,40
150,51
151,70
152,58
153,60
154,51
155,48
156,54
157,56
158,55
159,62
160,53
161,68
162,58
163,65
164,71
165,72
166,60
167,54
168,41
169,52
170,48
171,45
172,44
173,52
174,29
175,35
176,41
177,29
178,44
179,33
180,29
181,50
182,35
183,40
184,35
185,32
186,32
187,30
188,34
189,28
190,22
191,27
192,22
193,25
194,23
195,35
196,31
197,23
198,19
199,20
200,18
201,22
202,28
203,16
204,26
205,17
206,18
207,22
208,27
209,16
210,12
211,19
212,17
213,11
214,17
215,16
216,18
217,21
218,22
219,31
220,39
221,33
222,40
223,43
224,44
225,62
226,57
227,46
228,42
229,32
230,45
231,27
232,28
233,27
234,21
235,18
236,23
237,18
238,16
239,20
240,12
241,12
242,12
243,21
244,16
245,17
246,20
247,13
248,19
249,12
250,13
251,17
252,9
253,16
254,13
255,11
256,8
257,12
258,4
259,15
260,6
261,4
262,8
263,3
264,10
265,10
266,7
267,7
268,7
269,10
270,15
271,7
272,8
273,8
274,8
275,10
276,8
277,6
278,6
279,4
280,8
281,6
282,6
283,10
284,5
285,5
286,8
287,2
288,7
289,5
290,4
291,8
292,10
293,9
294,11
295,6
296,5
297,6
298,5
299,9
300,3
301,7
302,9
303,9
304,6
305,10
306,12
307,13
308,9
309,18
310,27
311,47
312,83
313,124
314,130
315,194
316,234
317,304
318,348
319,365
320,387
321,350
322,344
323,341
324,253
325,227
326,162
327,135
328,88
329,76
330,55
331,27
332,28
333,11
334,20
335,12
336,8
337,5
338,6
339,7
340,5
341,14
342,9
343,9
344,19
345,27
346,26
347,34
348,37
349,58
350,55
351,70
352,61
353,58
354,72
355,52
356,63
357,51
358,34
359,28
360,23
361,14
362,13
363,12
364,7
365,15
366,8
367,11
368,13
369,17
370,26
371,30
372,23
373,30
374,19
375,22
376,22
377,17
378,15
379,16
380,19
381,13
382,14
383,3
384,7
385,9
386,12
387,5
388,1
389,4
390,7
391,6
392,10
393,6
394,10
395,7
396,9
397,11
398,10
399,7
400,15
401,18
402,16
403,18
404,16
405,15
406,11
407,13
408,15
409,11
410,4
411,11
412,11
413,11
414,8
415,10
416,15
417,9
418,12
419,5
420,13
421,12
422,10
423,4
424,4
425,7
426,11
427,11
428,13
429,13
430,21
431,20
432,17
433,17
434,11
435,16
436,20
437,10
438,20
439,12
440,13
441,7
442,9
443,7
444,7
445,9
446,5
447,5
448,9
449,7
450,4
451,3
452,5
453,1
454,1
455,3
456,10
457,11
458,4
459,7
460,12
461,5
462,12
463,13
464,9
465,7
466,8
467,2
468,6
469,11
470,1
471,4
472,8
473,6
474,6
475,7
476,8
477,6
478,9
479,14
480,8
481,12
482,8
483,8
484,13
485,16
486,3
487,5
488,4
489,8
490,6
491,4
492,5
493,5
494,9
495,3
496,4
497,10
498,6
499,3
500,4
501,6
502,6
503,3
504,3
505,3
506,2
507,3
508,6
509,3
510,6
511,2
512,5
513,4
514,5
515,3
516,8
517,10
518,7
519,6
520,11
521,10
522,17
523,8
524,11
525,8
526,12
527,14
528,10
529,13
530,15
531,14
532,8
533,10
534,6
535,4
536,9
537,2
538,7
539,2
540,5
541,4
542,1
543,6
544,2
545,4
546,3
547,2
548,2
549,5
550,2
551,4
552,1
553,1
554,5
555,3
556,3
557,5
558,6
559,3
560,4
561,4
562,3
563,3
564,4
565,4
566,4
567,2
568,3
569,3
570,5
571,1
572,2
573,4
574,1
575,4
576,2
577,4
578,4
579,4
580,3
581,3
582,5
583,3
584,4
585,2
586,1
587,3
588,2
589,6
590,6
591,3
592,4
593,3
594,0
595,2
596,3
597,1
598,4
599,4
600,3
601,2
602,4
603,6
604,3
605,2
606,1
607,4
608,7
609,3
610,2
611,3
612,3
613,8
614,2
615,3
616,3
617,6
618,5
619,4
620,6
621,4
622,2
623,7
624,9
625,13
626,5
627,9
628,10
629,16
630,17
631,12
632,17
633,13
634,17
635,10
636,12
637,12
638,8
639,8
640,13
641,10
642,10
643,14
644,13
645,14
646,11
647,16
648,11
649,10
650,9
651,17
652,14
653,16
654,13
655,11
656,12
657,13
658,27
659,22
660,17
661,53
662,47
663,67
664,97
665,101
666,116
667,126
668,127
669,136
670,123
671,133
672,120
673,87
674,98
675,60
676,63
677,40
678,35
679,35
680,24
681,27
682,22
683,13
684,8
685,10
686,11
687,5
688,6
689,6
690,5
691,4
692,8
693,7
694,13
695,21
696,21
697,30
698,40
699,51
700,83
701,82
702,90
703,108
704,127
705,142
706,146
707,147
708,163
709,149
710,150
711,154
712,121
713,91
714,79
715,72
716,59
717,39
718,32
719,24
720,21
721,18
722,20
723,15
724,10
725,4
726,4
727,3
728,8
729,8
730,6
731,9
732,4
733,4
734,7
735,9
736,10
737,13
738,9
739,23
740,37
741,36
742,52
743,46
744,51
745,64
746,48
747,65
748,60
749,52
750,51
751,48
752,48
753,42
754,29
755,35
756,29
757,27
758,18
759,14
760,8
761,15
762,14
763,16
764,5
765,13
766,11
767,13
768,6
769,9
770,8
771,6
772,19
773,24
774,22
775,39
776,48
777,61
778,81
779,83
780,128
781,137
782,156
783,208
784,233
785,229
786,276
787,294
788,282
789,274
790,288
791,268
792,226
793,212
794,183
795,161
796,113
797,100
798,72
799,75
800,38
801,38
802,33
803,30
804,27
805,23
806,15
807,15
808,14
809,10
810,14
811,21
812,18
813,16
814,22
815,14
816,16
817,12
818,13
819,21
820,15
821,16
822,20
823,32
824,30
825,29
826,31
827,41
828,38
829,33
830,31
831,37
832,41
833,43
834,38
835,29
836,28
837,35
838,35
839,33
840,14
841,17
842,15
843,13
844,15
845,17
846,10
847,13
848,13
849,17
850,12
851,10
852,13
853,13
854,12
855,11
856,12
857,12
858,16
859,18
860,19
861,17
862,33
863,26
864,21
865,20
866,21
867,25
868,25
869,28
870,43
871,32
872,35
873,41
874,40
875,44
876,46
877,48
878,62
879,50
880,57
881,58
882,67
883,57
884,59
885,65
886,66
887,57
888,48
889,53
890,50
891,44
892,40
893,39
894,30
895,31
896,31
897,36
898,31
899,28
900,31
901,25
902,31
903,37
904,26
905,23
906,30
907,31
908,39
909,32
910,20
911,30
912,28
913,22
914,31
915,31
916,31
917,36
918,43
919,23
920,34
921,37
922,44
923,50
924,33
925,38
926,46
927,40
928,56
929,48
930,43
931,41
932,58
933,64
934,57
935,56
936,69
937,71
938,68
939,68
940,84
941,99
942,72
943,70
944,82
945,75
946,74
947,89
948,94
949,105
950,93
951,120
952,105
953,92
954,111
955,89
956,107
957,97
958,115
959,117
960,76
961,105
962,102
963,101
964,107
965,85
966,92
967,92
968,84
969,66
970,86
971,60
972,64
973,82
974,65
975,59
976,59
977,58
978,67
979,59
980,54
981,46
982,55
983,55
984,56
985,46
986,59
987,55
988,52
989,69
990,45
991,62
992,55
993,56
994,58
995,58
996,77
997,66
998,73
999,69
1000,77
1001,78
1002,71
1003,90
1004,86
1005,90
1006,77
1007,90
1008,82
1009,105
1010,95
1011,108
1012,100
1013,105
1014,87
1015,93
1016,90
1017,74
1018,82
1019,74
1020,71
1021,77
1022,59
1023,71
1024,68
1025,67
1026,67
1027,68
1028,67
1029,64
1030,66
1031,94
1032,51
1033,64
1034,70
1035,71
1036,83
1037,78
1038,63
1039,85
1040,63
1041,102
1042,62
1043,68
1044,83
1045,86
1046,92
1047,79
1048,86
1049,85
1050,81
1051,109
1052,84
1053,88
1054,86
1055,109
1056,111
1057,106
1058,95
1059,120
1060,92
1061,103
1062,117
1063,120
1064,108
1065,116
1066,99
1067,124
1068,121
1069,111
1070,115
1071,110
1072,112
1073,105
1074,106
1075,114
1076,105
1077,92
1078,112
1079,129
1080,94
1081,101
1082,102
1083,110
1084,113
1085,116
1086,119
1087,99
1088,102
1089,115
1090,94
1091,112
1092,100
1093,96
1094,93
1095,115
1096,117
1097,103
1098,109
1099,97
1100,93
1101,116
1102,89
1103,87
1104,90
1105,101
1106,118
1107,86
1108,100
1109,81
1110,102
1111,112
1112,89
1113,98
1114,119
1115,115
1116,104
1117,114
1118,106
1119,97
1120,104
1121,113
1122,97
1123,107
1124,93
1125,107
1126,108
1127,105
1128,113
1129,124
1130,117
1131,121
1132,121
1133,130
1134,122
1135,139
1136,130
1137,158
1138,124
1139,112
1140,125
1141,127
1142,125
1143,131
1144,132
1145,118
1146,119
1147,115
1148,132
1149,112
1150,93
1151,117
1152,106
1153,121
1154,120
1155,120
1156,100
1157,131
1158,116
1159,89
1160,124
1161,121
1162,121
1163,122
1164,145
1165,125
1166,135
1167,112
1168,108
1169,132
1170,114
1171,118
1172,127
1173,140
1174,130
1175,121
1176,102
1177,125
1178,132
1179,132
1180,132
1181,131
1182,157
1183,145
1184,117
1185,166
1186,125
1187,113
1188,137
1189,139
1190,124
1191,129
1192,151
1193,135
1194,140
1195,135
1196,142
1197,108
1198,154
1199,100
1200,153
1201,154
1202,132
1203,112
1204,161
1205,145
1206,151
1207,167
1208,124
1209,138
1210,159
1211,147
1212,163
1213,123
1214,143
1215,154
1216,162
1217,142
1218,159
1219,162
1220,163
1221,134
1222,136
1223,151
1224,176
1225,159
1226,179
1227,165
1228,176
1229,181
1230,184
1231,156
1232,160
1233,146
1234,151
1235,170
1236,176
1237,168
1238,167
1239,164
1240,141
1241,168
1242,177
1243,155
1244,176
1245,168
1246,147
1247,184
1248,175
1249,145
1250,182
1251,188
1252,155
1253,193
1254,165
1255,192
1256,197
1257,173
1258,202
1259,215
1260,220
1261,205
1262,231
1263,193
1264,232
1265,176
1266,202
1267,182
1268,175
1269,183
1270,198
1271,190
1272,178
1273,176
1274,181
1275,171
1276,194
1277,193
1278,197
1279,214
1280,182
1281,199
1282,187
1283,193
1284,169
1285,200
1286,186
1287,174
1288,168
1289,198
1290,206
1291,221
1292,179
1293,189
1294,202
1295,206
1296,189
1297,181
1298,163
1299,196
1300,201
1301,171
1302,192
1303,197
1304,180
1305,192
1306,195
1307,199
1308,193
1309,225
1310,210
1311,219
1312,186
1313,224
1314,206
1315,203
1316,223
1317,200
1318,214
1319,199
1320,209
1321,211
1322,175
1323,182
1324,180
1325,203
1326,211
1327,173
1328,223
1329,214
1330,243
1331,184
1332,251
1333,207
1334,194
1335,213
1336,205
1337,184
1338,221
1339,228
1340,202
1341,251
1342,208
1343,225
1344,216
1345,203
1346,254
1347,204
1348,222
1349,208
1350,222
1351,189
1352,192
1353,205
1354,211
1355,208
1356,229
1357,204
1358,213
1359,212
1360,195
1361,211
1362,227
1363,213
1364,207
1365,261
1366,217
1367,212
1368,216
1369,228
1370,234
1371,209
1372,246
1373,194
1374,212
1375,208
1376,213
1377,202
1378,231
1379,222
1380,194
1381,215
1382,267
1383,233
1384,232
1385,199
1386,232
1387,221
1388,220
1389,204
1390,230
1391,243
1392,226
1393,214
1394,236
1395,216
1396,237
1397,209
1398,212
1399,244
1400,261
1401,240
1402,233
1403,234
1404,210
1405,207
1406,231
1407,234
1408,255
1409,230
1410,240
1411,206
1412,215
1413,247
1414,254
1415,201
1416,238
1417,248
1418,241
1419,217
1420,221
1421,258
1422,234
1423,238
1424,217
1425,222
1426,239
1427,240
1428,231
1429,227
1430,261
1431,211
1432,239
1433,206
1434,240
1435,222
1436,211
1437,242
1438,233
1439,197
1440,218
1441,224
1442,232
1443,217
1444,245
1445,241
1446,227
1447,255
1448,250
1449,226
1450,241
1451,260
1452,243
1453,218
1454,225
1455,248
1456,224
1457,234
1458,245
1459,241
1460,251
1461,218
1462,267
1463,234
1464,247
1465,196
1466,232
1467,249
1468,224
1469,235
1470,221
1471,230
1472,230
1473,222
1474,205
1475,211
1476,228
1477,243
1478,228
1479,249
1480,228
1481,227
1482,219
1483,235
1484,224
1485,223
1486,228
1487,205
1488,224
1489,213
1490,216
1491,210
1492,254
1493,205
1494,220
1495,219
1496,207
1497,219
1498,208
1499,209
1500,224
1501,221
1502,229
1503,198
1504,209
1505,225
1506,248
1507,215
1508,232
1509,231
1510,227
1511,214
1512,197
1513,227
1514,223
1515,220
1516,229
1517,228
