Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,n97b-3-J
Duration Time,120
Ambient Temperature,100.8
Detector Temperature,-40.5
Valid Accumulated Counts,178944
Raw Accumulated Counts,222891
Valid Count Last Packet,1544
Raw Count Last Packet,1953
Live Time,113.364998
HV DAC,159
HV ADC,40
Filament DAC,181
Filament ADC,27.9
Pulse Length,201
Pulse Period,254
Filter,1
eV per channel,20
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,123
1,113
2,111
3,92
4,52
5,37
6,24
7,16
8,17
9,3
10,4
11,1
12,3
13,1
14,1
15,0
16,2
17,2
18,0
19,0
20,1
21,1
22,1
23,4
24,5
25,9
26,14
27,18
28,18
29,34
30,44
31,51
32,61
33,65
34,68
35,72
36,89
37,107
38,89
39,74
40,85
41,100
42,83
43,94
44,105
45,79
46,92
47,81
48,119
49,85
50,104
51,86
52,95
53,101
54,93
55,99
56,104
57,99
58,110
59,100
60,97
61,137
62,136
63,107
64,116
65,102
66,115
67,140
68,106
69,120
70,141
71,97
72,100
73,112
74,105
75,111
76,114
77,104
78,108
79,105
80,97
81,110
82,121
83,103
84,92
85,92
86,101
87,103
88,105
89,96
90,95
91,102
92,92
93,102
94,95
95,88
96,76
97,96
98,85
99,87
100,74
101,85
102,89
103,90
104,94
105,89
106,61
107,80
108,69
109,75
110,84
111,75
112,66
113,56
114,70
115,72
116,84
117,84
118,66
119,79
120,62
121,64
122,88
123,73
124,84
125,71
126,70
127,55
128,66
129,69
130,64
131,65
132,68
133,66
134,71
135,67
136,60
137,68
138,57
139,54
140,60
141,45
142,62
143,70
144,59
145,62
146,54
147,67
148,51
149,51
150,58
151,55
152,54
153,58
154,54
155,50
156,47
157,48
158,52
159,50
160,50
161,66
162,48
163,50
164,59
165,46
166,53
167,38
168,45
169,25
170,47
171,40
172,54
173,45
174,47
175,36
176,39
177,34
178,34
179,38
180,40
181,36
182,28
183,35
184,33
185,33
186,29
187,33
188,29
189,25
190,27
191,30
192,29
193,31
194,30
195,25
196,21
197,23
198,29
199,20
200,20
201,29
202,25
203,23
204,16
205,22
206,19
207,25
208,18
209,19
210,14
211,13
212,18
213,17
214,18
215,11
216,15
217,19
218,33
219,33
220,49
221,56
222,76
223,72
224,84
225,95
226,80
227,81
228,80
229,69
230,78
231,44
232,41
233,30
234,34
235,26
236,24
237,14
238,22
239,18
240,13
241,18
242,23
243,32
244,20
245,35
246,44
247,35
248,24
249,28
250,32
251,19
252,18
253,14
254,13
255,13
256,10
257,16
258,6
259,7
260,9
261,10
262,6
263,10
264,9
265,9
266,9
267,15
268,9
269,11
270,6
271,5
272,24
273,8
274,10
275,8
276,13
277,5
278,11
279,11
280,9
281,6
282,3
283,10
284,8
285,5
286,8
287,7
288,9
289,3
290,7
291,9
292,6
293,7
294,9
295,4
296,7
297,8
298,6
299,7
300,3
301,7
302,10
303,8
304,8
305,4
306,8
307,10
308,10
309,25
310,22
311,50
312,65
313,69
314,124
315,159
316,225
317,283
318,298
319,315
320,346
321,318
322,303
323,238
324,245
325,210
326,169
327,94
328,99
329,65
330,27
331,28
332,27
333,16
334,14
335,7
336,6
337,7
338,4
339,10
340,11
341,11
342,11
343,10
344,19
345,21
346,18
347,26
348,43
349,45
350,53
351,56
352,58
353,64
354,65
355,47
356,43
357,47
358,38
359,27
360,22
361,24
362,12
363,7
364,9
365,12
366,22
367,13
368,12
369,26
370,26
371,20
372,39
373,28
374,13
375,28
376,28
377,30
378,21
379,23
380,11
381,14
382,10
383,6
384,9
385,9
386,4
387,5
388,6
389,9
390,3
391,3
392,7
393,11
394,4
395,10
396,12
397,19
398,23
399,14
400,17
401,26
402,24
403,18
404,25
405,17
406,22
407,14
408,26
409,9
410,13
411,7
412,10
413,11
414,6
415,12
416,9
417,9
418,15
419,8
420,8
421,9
422,3
423,11
424,9
425,16
426,14
427,19
428,21
429,13
430,34
431,24
432,26
433,21
434,22
435,12
436,22
437,14
438,7
439,14
440,12
441,6
442,7
443,11
444,5
445,5
446,12
447,4
448,8
449,7
450,11
451,9
452,6
453,6
454,10
455,13
456,10
457,11
458,19
459,17
460,9
461,14
462,13
463,12
464,19
465,21
466,12
467,10
468,11
469,13
470,14
471,8
472,5
473,9
474,6
475,6
476,9
477,10
478,9
479,8
480,10
481,12
482,10
483,7
484,6
485,7
486,7
487,4
488,12
489,10
490,5
491,3
492,5
493,8
494,5
495,4
496,7
497,13
498,8
499,5
500,3
501,9
502,6
503,6
504,1
505,3
506,3
507,2
508,5
509,4
510,4
511,6
512,4
513,2
514,13
515,8
516,6
517,5
518,8
519,4
520,7
521,7
522,16
523,11
524,16
525,21
526,11
527,17
528,17
529,20
530,13
531,22
532,13
533,10
534,12
535,11
536,9
537,8
538,4
539,5
540,5
541,2
542,3
543,2
544,6
545,5
546,4
547,2
548,5
549,5
550,1
551,5
552,4
553,2
554,8
555,4
556,4
557,9
558,3
559,5
560,6
561,5
562,4
563,3
564,4
565,6
566,5
567,2
568,8
569,3
570,6
571,9
572,6
573,5
574,4
575,4
576,1
577,2
578,3
579,2
580,1
581,3
582,3
583,3
584,2
585,6
586,10
587,5
588,5
589,4
590,0
591,3
592,6
593,4
594,4
595,5
596,2
597,3
598,4
599,2
600,4
601,3
602,2
603,4
604,4
605,3
606,4
607,4
608,1
609,4
610,6
611,4
612,6
613,4
614,1
615,7
616,2
617,1
618,2
619,4
620,4
621,6
622,9
623,3
624,8
625,11
626,8
627,14
628,13
629,16
630,9
631,12
632,16
633,9
634,15
635,16
636,12
637,12
638,10
639,14
640,13
641,9
642,20
643,18
644,19
645,14
646,24
647,26
648,17
649,19
650,18
651,21
652,17
653,19
654,9
655,9
656,11
657,11
658,11
659,9
660,11
661,17
662,21
663,15
664,15
665,27
666,27
667,40
668,36
669,29
670,35
671,31
672,27
673,31
674,14
675,25
676,14
677,16
678,18
679,14
680,16
681,12
682,10
683,9
684,12
685,11
686,10
687,5
688,10
