row,Element1,Element1,Quantity,unit,quality,oxide.conversion
1,Ni,Nickle,35,ppm,,
2,Pb,Lead,49,ppm,,
3,Al,Aluminium,20.76,cert,%mass,
4,Ca,Calcium,0.0249,cert,%mass,
5,Cr,Chromium,0.0227,cert,%mass,
6,Fe,Iron,0.831,cert,%mass,
7,Li,Lithium,0.055,cert,%mass,
8,Mg,Magnesium,0.113,cert,%mass,
9,Mn,Manganese,0.0047,cert,%mass,
10,K,Potassium,0.513,cert,%mass,
11,Si,Silicon,19.81,cert,%mass,
12,Na,Sodium,0.0492,cert,%mass,
13,Sr,Strontium,0.0084,cert,%mass,
14,Ti,Titanium,1.43,cert,%mass,
