Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130224-KKH1.18-300sec-10"
Duration Time,300
Ambient Temperature,"102.4"
Detector Temperature,"-39.0"
Valid Accumulated Counts,"454430"
Raw Accumulated Counts,"527914"
Valid Count Last Packet,"1472"
Raw Count Last Packet,"1711"
Live Time,283.822418
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,773
Channel#,Intensity
0,"1"
1,"2"
2,"1"
3,"0"
4,"0"
5,"2"
6,"1"
7,"0"
8,"1"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"2"
18,"1"
19,"0"
20,"4"
21,"3"
22,"9"
23,"12"
24,"12"
25,"24"
26,"28"
27,"56"
28,"78"
29,"89"
30,"116"
31,"155"
32,"163"
33,"189"
34,"217"
35,"211"
36,"248"
37,"227"
38,"249"
39,"230"
40,"250"
41,"267"
42,"216"
43,"211"
44,"230"
45,"236"
46,"241"
47,"254"
48,"261"
49,"219"
50,"230"
51,"255"
52,"257"
53,"275"
54,"263"
55,"247"
56,"289"
57,"287"
58,"246"
59,"277"
60,"293"
61,"269"
62,"249"
63,"292"
64,"309"
65,"289"
66,"234"
67,"282"
68,"268"
69,"262"
70,"268"
71,"279"
72,"269"
73,"278"
74,"269"
75,"252"
76,"228"
77,"258"
78,"256"
79,"263"
80,"222"
81,"250"
82,"240"
83,"229"
84,"264"
85,"251"
86,"222"
87,"231"
88,"228"
89,"253"
90,"237"
91,"227"
92,"208"
93,"223"
94,"203"
95,"235"
96,"220"
97,"247"
98,"207"
99,"231"
100,"218"
101,"193"
102,"222"
103,"208"
104,"218"
105,"204"
106,"196"
107,"226"
108,"186"
109,"201"
110,"187"
111,"240"
112,"225"
113,"211"
114,"192"
115,"198"
116,"179"
117,"181"
118,"201"
119,"196"
120,"190"
121,"197"
122,"181"
123,"173"
124,"162"
125,"197"
126,"180"
127,"186"
128,"178"
129,"161"
130,"167"
131,"160"
132,"184"
133,"181"
134,"158"
135,"175"
136,"163"
137,"172"
138,"149"
139,"140"
140,"151"
141,"175"
142,"188"
143,"148"
144,"173"
145,"184"
146,"164"
147,"137"
148,"157"
149,"148"
150,"140"
151,"142"
152,"129"
153,"133"
154,"159"
155,"145"
156,"134"
157,"118"
158,"121"
159,"151"
160,"166"
161,"157"
162,"185"
163,"180"
164,"215"
165,"195"
166,"203"
167,"190"
168,"190"
169,"173"
170,"164"
171,"148"
172,"136"
173,"136"
174,"132"
175,"115"
176,"105"
177,"95"
178,"127"
179,"100"
180,"114"
181,"111"
182,"106"
183,"105"
184,"88"
185,"92"
186,"99"
187,"94"
188,"81"
189,"102"
190,"80"
191,"69"
192,"47"
193,"65"
194,"68"
195,"67"
196,"71"
197,"80"
198,"72"
199,"56"
200,"62"
201,"68"
202,"54"
203,"56"
204,"67"
205,"53"
206,"57"
207,"63"
208,"53"
209,"41"
210,"52"
211,"46"
212,"56"
213,"48"
214,"58"
215,"47"
216,"62"
217,"65"
218,"73"
219,"79"
220,"95"
221,"106"
222,"122"
223,"120"
224,"153"
225,"161"
226,"181"
227,"152"
228,"134"
229,"120"
230,"115"
231,"104"
232,"72"
233,"64"
234,"51"
235,"46"
236,"49"
237,"52"
238,"45"
239,"41"
240,"43"
241,"50"
242,"44"
243,"44"
244,"67"
245,"58"
246,"34"
247,"44"
248,"63"
249,"35"
250,"39"
251,"37"
252,"43"
253,"40"
254,"30"
255,"37"
256,"20"
257,"21"
258,"24"
259,"34"
260,"28"
261,"25"
262,"32"
263,"22"
264,"22"
265,"22"
266,"20"
267,"20"
268,"25"
269,"25"
270,"19"
271,"28"
272,"20"
273,"20"
274,"24"
275,"30"
276,"22"
277,"20"
278,"16"
279,"17"
280,"22"
281,"21"
282,"19"
283,"14"
284,"16"
285,"15"
286,"16"
287,"21"
288,"15"
289,"9"
290,"19"
291,"17"
292,"16"
293,"20"
294,"26"
295,"21"
296,"20"
297,"11"
298,"18"
299,"18"
300,"17"
301,"12"
302,"23"
303,"18"
304,"15"
305,"16"
306,"13"
307,"18"
308,"21"
309,"20"
310,"47"
311,"55"
312,"89"
313,"121"
314,"160"
315,"186"
316,"267"
317,"279"
318,"343"
319,"366"
320,"404"
321,"368"
322,"366"
323,"312"
324,"281"
325,"226"
326,"183"
327,"138"
328,"94"
329,"57"
330,"58"
331,"39"
332,"34"
333,"24"
334,"20"
335,"18"
336,"16"
337,"19"
338,"16"
339,"13"
340,"22"
341,"17"
342,"6"
343,"21"
344,"15"
345,"24"
346,"31"
347,"32"
348,"39"
349,"55"
350,"42"
351,"65"
352,"64"
353,"68"
354,"66"
355,"61"
356,"57"
357,"45"
358,"43"
359,"29"
360,"29"
361,"23"
362,"20"
363,"22"
364,"23"
365,"29"
366,"20"
367,"33"
368,"43"
369,"33"
370,"50"
371,"59"
372,"46"
373,"51"
374,"58"
375,"67"
376,"66"
377,"64"
378,"35"
379,"34"
380,"35"
381,"17"
382,"20"
383,"20"
384,"10"
385,"13"
386,"9"
387,"8"
388,"5"
389,"3"
390,"11"
391,"12"
392,"11"
393,"17"
394,"8"
395,"19"
396,"13"
397,"13"
398,"24"
399,"20"
400,"32"
401,"42"
402,"29"
403,"29"
404,"32"
405,"23"
406,"27"
407,"26"
408,"28"
409,"20"
410,"15"
411,"21"
412,"20"
413,"25"
414,"26"
415,"21"
416,"19"
417,"34"
418,"27"
419,"17"
420,"17"
421,"23"
422,"28"
423,"25"
424,"17"
425,"19"
426,"25"
427,"16"
428,"22"
429,"28"
430,"32"
431,"24"
432,"21"
433,"26"
434,"23"
435,"22"
436,"21"
437,"14"
438,"13"
439,"14"
440,"14"
441,"15"
442,"15"
443,"14"
444,"16"
445,"17"
446,"14"
447,"11"
448,"8"
449,"9"
450,"11"
451,"18"
452,"9"
453,"18"
454,"10"
455,"11"
456,"16"
457,"20"
458,"25"
459,"20"
460,"27"
461,"19"
462,"23"
463,"28"
464,"35"
465,"24"
466,"13"
467,"19"
468,"20"
469,"17"
470,"20"
471,"9"
472,"10"
473,"8"
474,"11"
475,"19"
476,"20"
477,"16"
478,"18"
479,"23"
480,"27"
481,"23"
482,"19"
483,"11"
484,"15"
485,"19"
486,"16"
487,"14"
488,"18"
489,"19"
490,"20"
491,"15"
492,"14"
493,"17"
494,"10"
495,"19"
496,"17"
497,"14"
498,"14"
499,"18"
500,"9"
501,"10"
502,"8"
503,"9"
504,"9"
505,"11"
506,"7"
507,"10"
508,"7"
