Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130225-KKH2.02-300sec-6"
Duration Time,300
Ambient Temperature,"93.9"
Detector Temperature,"-40.5"
Valid Accumulated Counts,"575578"
Raw Accumulated Counts,"637145"
Valid Count Last Packet,"1850"
Raw Count Last Packet,"2080"
Live Time,280.159302
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,1023
Channel#,Intensity
0,"0"
1,"0"
2,"0"
3,"1"
4,"0"
5,"1"
6,"0"
7,"1"
8,"0"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"1"
21,"2"
22,"1"
23,"7"
24,"8"
25,"10"
26,"16"
27,"20"
28,"21"
29,"36"
30,"58"
31,"63"
32,"66"
33,"77"
34,"83"
35,"83"
36,"98"
37,"87"
38,"108"
39,"103"
40,"81"
41,"78"
42,"98"
43,"89"
44,"116"
45,"115"
46,"102"
47,"108"
48,"113"
49,"95"
50,"105"
51,"131"
52,"96"
53,"120"
54,"132"
55,"116"
56,"140"
57,"134"
58,"115"
59,"134"
60,"125"
61,"115"
62,"157"
63,"149"
64,"173"
65,"151"
66,"140"
67,"123"
68,"143"
69,"152"
70,"135"
71,"145"
72,"125"
73,"126"
74,"135"
75,"139"
76,"114"
77,"116"
78,"121"
79,"129"
80,"129"
81,"123"
82,"123"
83,"130"
84,"108"
85,"128"
86,"117"
87,"121"
88,"106"
89,"127"
90,"112"
91,"124"
92,"118"
93,"99"
94,"80"
95,"97"
96,"102"
97,"82"
98,"105"
99,"99"
100,"95"
101,"79"
102,"90"
103,"73"
104,"94"
105,"96"
106,"97"
107,"75"
108,"90"
109,"88"
110,"81"
111,"82"
112,"75"
113,"82"
114,"68"
115,"86"
116,"90"
117,"87"
118,"95"
119,"78"
120,"66"
121,"77"
122,"73"
123,"68"
124,"59"
125,"67"
126,"73"
127,"74"
128,"84"
129,"68"
130,"75"
131,"73"
132,"79"
133,"62"
134,"78"
135,"76"
136,"70"
137,"81"
138,"74"
139,"52"
140,"61"
141,"67"
142,"78"
143,"77"
144,"67"
145,"81"
146,"69"
147,"70"
148,"73"
149,"84"
150,"74"
151,"78"
152,"64"
153,"73"
154,"67"
155,"74"
156,"81"
157,"62"
158,"77"
159,"72"
160,"73"
161,"97"
162,"110"
163,"91"
164,"110"
165,"127"
166,"125"
167,"140"
168,"122"
169,"106"
170,"108"
171,"93"
172,"90"
173,"79"
174,"49"
175,"73"
176,"57"
177,"65"
178,"77"
179,"78"
180,"101"
181,"95"
182,"95"
183,"117"
184,"128"
185,"116"
186,"122"
187,"96"
188,"92"
189,"70"
190,"85"
191,"59"
192,"60"
193,"62"
194,"54"
195,"60"
196,"62"
197,"64"
198,"63"
199,"74"
200,"72"
201,"62"
202,"51"
203,"56"
204,"66"
205,"59"
206,"46"
207,"57"
208,"40"
209,"36"
210,"39"
211,"33"
212,"53"
213,"38"
214,"46"
215,"53"
216,"39"
217,"38"
218,"53"
219,"59"
220,"76"
221,"70"
222,"89"
223,"110"
224,"101"
225,"124"
226,"140"
227,"154"
228,"155"
229,"164"
230,"180"
231,"180"
232,"176"
233,"161"
234,"148"
235,"161"
236,"134"
237,"125"
238,"96"
239,"90"
240,"64"
241,"79"
242,"79"
243,"80"
244,"87"
245,"81"
246,"83"
247,"98"
248,"75"
249,"83"
250,"77"
251,"80"
252,"62"
253,"49"
254,"40"
255,"44"
256,"39"
257,"34"
258,"48"
259,"38"
260,"50"
261,"43"
262,"63"
263,"59"
264,"64"
265,"61"
266,"66"
267,"67"
268,"74"
269,"71"
270,"54"
271,"64"
272,"64"
273,"78"
274,"63"
275,"55"
276,"67"
277,"53"
278,"49"
279,"55"
280,"40"
281,"48"
282,"54"
283,"51"
284,"47"
285,"58"
286,"42"
287,"61"
288,"57"
289,"70"
290,"71"
291,"74"
292,"100"
293,"90"
294,"113"
295,"128"
296,"112"
297,"96"
298,"108"
299,"108"
300,"90"
301,"108"
302,"105"
303,"116"
304,"133"
305,"194"
306,"246"
307,"437"
308,"745"
309,"1297"
310,"2096"
311,"3424"
312,"5391"
313,"8140"
314,"11462"
315,"15691"
316,"20071"
317,"24197"
318,"28285"
319,"30398"
320,"31453"
321,"31183"
322,"28716"
323,"25203"
324,"20981"
325,"17113"
326,"13068"
327,"9409"
328,"6532"
329,"4639"
330,"2987"
331,"2063"
332,"1370"
333,"992"
334,"786"
335,"615"
336,"515"
337,"482"
338,"535"
339,"452"
340,"530"
341,"585"
342,"708"
343,"865"
344,"1201"
345,"1569"
346,"2195"
347,"2684"
348,"3430"
349,"4080"
350,"4765"
351,"5429"
352,"5605"
353,"5737"
354,"5607"
355,"4916"
356,"4462"
357,"3769"
358,"2987"
359,"2193"
360,"1687"
361,"1202"
362,"780"
363,"542"
364,"389"
365,"231"
366,"182"
367,"129"
368,"114"
369,"104"
370,"107"
371,"87"
372,"88"
373,"105"
374,"90"
375,"71"
376,"87"
377,"83"
378,"69"
379,"69"
380,"63"
381,"70"
382,"69"
383,"53"
384,"70"
385,"53"
386,"57"
387,"45"
388,"47"
389,"45"
390,"40"
391,"39"
392,"35"
393,"27"
394,"23"
395,"21"
396,"20"
