Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130129-kleinkliphuis-300sec-7"
Duration Time,300
Ambient Temperature,"102.2"
Detector Temperature,"-39.0"
Valid Accumulated Counts,"433742"
Raw Accumulated Counts,"493722"
Valid Count Last Packet,"1397"
Raw Count Last Packet,"1556"
Live Time,284.742065
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,777
Channel#,Intensity
0,"1"
1,"0"
2,"0"
3,"0"
4,"0"
5,"0"
6,"0"
7,"0"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"2"
20,"3"
21,"3"
22,"5"
23,"5"
24,"15"
25,"11"
26,"23"
27,"43"
28,"47"
29,"68"
30,"91"
31,"115"
32,"131"
33,"160"
34,"131"
35,"169"
36,"175"
37,"166"
38,"174"
39,"182"
40,"187"
41,"194"
42,"170"
43,"170"
44,"193"
45,"167"
46,"169"
47,"198"
48,"180"
49,"191"
50,"188"
51,"178"
52,"212"
53,"188"
54,"223"
55,"195"
56,"198"
57,"202"
58,"226"
59,"196"
60,"232"
61,"235"
62,"207"
63,"209"
64,"261"
65,"224"
66,"195"
67,"215"
68,"223"
69,"229"
70,"217"
71,"239"
72,"205"
73,"218"
74,"208"
75,"214"
76,"202"
77,"190"
78,"215"
79,"203"
80,"209"
81,"210"
82,"184"
83,"197"
84,"201"
85,"174"
86,"195"
87,"205"
88,"175"
89,"172"
90,"179"
91,"170"
92,"163"
93,"164"
94,"172"
95,"180"
96,"176"
97,"186"
98,"176"
99,"159"
100,"170"
101,"168"
102,"151"
103,"149"
104,"153"
105,"158"
106,"151"
107,"169"
108,"164"
109,"149"
110,"173"
111,"166"
112,"143"
113,"159"
114,"139"
115,"150"
116,"154"
117,"136"
118,"139"
119,"151"
120,"145"
121,"130"
122,"139"
123,"119"
124,"126"
125,"139"
126,"125"
127,"140"
128,"147"
129,"151"
130,"127"
131,"108"
132,"135"
133,"134"
134,"130"
135,"127"
136,"139"
137,"127"
138,"129"
139,"137"
140,"107"
141,"124"
142,"122"
143,"102"
144,"121"
145,"134"
146,"118"
147,"112"
148,"111"
149,"120"
150,"106"
151,"115"
152,"101"
153,"117"
154,"105"
155,"117"
156,"110"
157,"142"
158,"106"
159,"104"
160,"94"
161,"113"
162,"100"
163,"130"
164,"130"
165,"113"
166,"124"
167,"130"
168,"114"
169,"89"
170,"95"
171,"96"
172,"105"
173,"108"
174,"88"
175,"83"
176,"76"
177,"81"
178,"91"
179,"94"
180,"69"
181,"92"
182,"89"
183,"97"
184,"88"
185,"107"
186,"86"
187,"62"
188,"76"
189,"76"
190,"71"
191,"76"
192,"58"
193,"60"
194,"64"
195,"71"
196,"78"
197,"62"
198,"78"
199,"68"
200,"64"
201,"57"
202,"65"
203,"65"
204,"63"
205,"64"
206,"54"
207,"50"
208,"57"
209,"66"
210,"53"
211,"51"
212,"57"
213,"38"
214,"41"
215,"52"
216,"58"
217,"44"
218,"74"
219,"63"
220,"89"
221,"75"
222,"94"
223,"122"
224,"124"
225,"135"
226,"120"
227,"114"
228,"117"
229,"110"
230,"109"
231,"113"
232,"105"
233,"84"
234,"84"
235,"66"
236,"67"
237,"66"
238,"65"
239,"49"
240,"59"
241,"48"
242,"58"
243,"55"
244,"61"
245,"46"
246,"62"
247,"68"
248,"50"
249,"37"
250,"47"
251,"40"
252,"40"
253,"37"
254,"39"
